teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1;status;areaH;areakm;pop;popkm;rankA;rankP
0611;06;łukowski;1;574673;6216;1;2;0;0;140.16;e;;139421;1394;107896;77;47;71
0612;06;opolski(lubelskie);0;0;0;4;6;0;0;108.86;e;;81002;810;60266;74;176;197
0613;06;parczewski;0;0;0;2;3;0;0;132.08;e;;95220;952;35140;37;142;301
0614;06;puławski;0;0;0;16;29;0;48;206.08;e;;93409;934;114198;122;146;57
0615;06;radzyński;4;2105526;21520;2;2;0;0;123.7;e;;96506;965;59640;62;138;199
0616;06;rycki;1;337346;68;4;2;2;582;177.74;e;;61453;615;56765;92;253;214
0617;06;świdnicki(lubelskie);2;676777;18186;2;7;0;0;192.39;e;;46835;468;72412;155;289;157
0618;06;tomaszowski(lubelskie);1;419833;62095;4;8;0;0;112.71;e;;148889;1489;84429;57;37;116
0619;06;włodawski;0;0;0;3;4;0;0;127.25;e;;125642;1256;38853;31;73;290
0620;06;zamojski;0;0;0;6;8;0;0;110.39;e;;187029;1870;107565;58;12;72
0661;06;m.BiałaPodlaska;0;0;0;7;8;1;1333;213.76;e;c;4940;49;57545;1165;51;58
0662;06;m.Chełm;0;0;0;4;4;2;599;203.54;e;c;3528;35;63333;1795;56;54
0663;06;m.Lublin;0;0;0;21;37;9;18203;296.1;e;c;14747;147;339850;2305;17;9
0664;06;m.Zamość;0;0;0;11;13;3;440;213.48;e;c;3034;30;64354;2121;62;52
0801;08;gorzowski;0;0;0;6;4;1;25;236.86;nw;;121423;1214;71438;59;83;161
0802;08;krośnieński(lubuskie);0;0;0;6;4;0;0;179.01;nw;;139125;1391;55512;40;50;223
0803;08;międzyrzecki;1;164865;23653;13;13;0;0;178.74;nw;;138761;1388;58249;42;51;205
0804;08;nowosolski;7;4826018;257857;7;6;0;0;163.59;nw;;77073;771;86949;113;192;108
0805;08;słubicki;1;410080;3110;16;21;0;0;193.97;nw;;99929;999;47068;47;129;256
0806;08;strzelecko-drezdenecki;1;211188;2332;5;5;0;0;157.72;nw;;124786;1248;49701;40;75;245
0807;08;sulęciński;4;1881457;155279;10;11;0;0;180.06;nw;;117780;1178;35351;30;89;300
0808;08;świebodziński;1;168524;11135;12;16;0;0;195.84;nw;;93657;937;56095;60;145;219
0812;08;wschowski;1;253009;17285;5;5;0;0;185.59;nw;;62420;624;39196;63;244;289
0809;08;zielonogórski;5;18952264;146349;8;8;0;24;189.94;nw;;134975;1350;75558;56;58;148
0810;08;żagański;5;4062848;346883;6;4;0;0;169.98;nw;;113182;1132;80114;71;98;126
0811;08;żarski;0;0;0;10;8;1;109;195.47;nw;;139278;1393;97487;70;49;86
0861;08;m.GorzówWielkopolski;4;2375698;21665;10;11;2;981;243.76;nw;c;8572;86;124295;1450;31;29
0862;08;m.ZielonaGóra;0;0;0;16;16;2;2805;320.18;nw;c;27832;277;139819;502;6;24
1001;10;bełchatowski;3;2110971;71323;11;7;0;149;326.22;c;;96760;968;113028;117;136;61
1021;10;brzeziński;0;0;0;1;1;0;0;184.92;c;;35856;359;30884;86;308;309
