date;prc
2008-12-31;98.5
2009-12-31;99.5
2010-12-31;100.1
2011-12-31;102.4
2012-12-31;103.2
2013-12-31;105.0
2014-12-31;105.2
2015-12-31;103.8
2016-12-31;103.7
2017-12-31;100.7
2018-12-31;97.0
