total;18206;18527;18100;15723;14726;14134;13442;12816;12374;12084;11865.9;11840.1;12022.9;12328.7;12951.1;
universities;4960;5144;4998;4650;4400;4239;4135;3978;3886;3686;3742.4;3751.8;3779.4;3856.8;4087.6;
technical.univ;3428;3420;3251;3022;2669;2539;2439;2454;2514;2589;2657.8;2750.9;2864.2;2848.3;2901.2;
medical.univ;3254;3105;3126;3022;2951;2854;2771;2622;2474;2351;2228.5;2188.6;2212.1;2356.2;2499.7;
