year;eu28;eu27;belgium;bulgaria;czechia;denmark;germany;estonia;ireland;greece;spain;france;croatia;italy;cyprus;latvia;lithuania;luxembourg;hungary;malta;netherlands;austria;poland;portugal;romania;slovenia;slovakia;finland;sweden;uk
2008;1021941396;987680179;16360702;11791454;19987022;8918197;56239679;2932662;21535000;47973949;223756216;106993811;33902735;161797434;13208954;2115618;1626829;2249545;10009531;7581137;25267600;74730956;10173237;28126716;3359244;5085308;5144831;5502554;10920106;80393221
2009;946803175;913445331;15451017;9460922;17746893;8299403;54096574;2740696;NA;57413304;200551728;98705212;33357844;159493866;11666663;1699562;1395899;2075831;9220148;6550794;25013700;72224605;9609447;25024678;2667666;4656825;3707327;4890006;11317502;79920519
2010;1006834200;973599318;16169676;10547112;18365947;8981992;59658760;3203721;NA;59184397;213349649;120390105;33234882;165202498;12448158;1912336;1571325;1717130;9358373;7208295;26799800;72585976;10064628;25386084;2766581;4680456;3749566;5005068;11184995;84610527
2011;1077378862;1041989860;16723867;12426723;19424839;9491137;63081467;3748865;NA;65514230;239369167;123227704;35389002;176474062;13112596;2257021;1883003;2057883;9920339;7361449;27739000;73647325;10620264;27860103;3066882;5106452;3990300;5507468;11344435;87993917
2012;1133558823;1076478856;16432646;13451440;21793985;9608124;68161503;3823039;11839245;61054383;243389006;125038453;57079967;180594988;13488127;2429093;2680048;2298068;11392183;7498421;27845942;77158431;11876599;29033970;3291504;5702306;4039410;5802959;11299455;105455528
2013;1191592955;1132214059;16511721;14370426;22144896;9914273;71191942;3909326;10871806;68992640;252447766;132251136;59378896;184793382;13152589;2639434;2906201;2313124;11982883;8172407;31770508;78433546;12471268;32078773;3471152;5887862;4277598;5860447;11442690;NA
2014;1211064155;1146438009;17068872;14077798;22110112;10608119;74805253;3919299;11276424;74675156;259635794;130908700;61072661;186792507;12884399;2875934;3033826;2513585;12351330;8428215;34423552;78099096;12992241;35630345;3762465;6004623;3852147;5710702;12260712;NA
2015;1422151041;1356468031;18852087;13352281;23286515;11171416;78827773;3770207;13462348;78254524;269418103;130464997;65683010;192607930;12550320;2873885;3010727;2655733;12962395;8542055;37297588;80304956;13757657;38897329;4460017;6529086;4384800;5510350;13612924;275650028
2016;1484015095;1411950513;17063194;16150666;24268149;11630004;79946914;4014581;16190381;80025756;294556428;123913410;72064582;199421814;14504702;3044532;3273420;2637701;13802045;8622438;39623541;83398372;15579225;43959295;4812050;7252070;5038214;5771275;13997265;279453071
2017;NA;NA;18656843;17105567;26257013;11914787;83111219;4150419;NA;89284386;305907462;133499991;80176804;210658786;15946809;3406527;3431233;2573589;14941781;9184162;44169041;86044321;16705215;48884842;5267970;8478019;5316945;6742834;14638702;NA
