teryt;powiat;hotele2012;hotele2017
2206;kościerski;11;11
2207;kwidzyński;6;6
2208;lęborski;9;9
2209;malborski;7;8
2210;nowodworski;7;14
2211;pucki;28;32
2212;słupski;14;14
2213;starogardzki;4;4
2214;tczewski;11;12
2215;wejherowski;14;15
2216;sztumski;0;0
2261;m.Gdańsk;61;73
2262;m.Gdynia;14;13
2263;m.Słupsk;7;9
2264;m.Sopot;22;27
2401;będziński;10;11
2402;bielski;16;21
2403;cieszyński;47;48
2404;częstochowski;4;4
2405;gliwicki;7;6
2406;kłobucki;1;1
2407;lubliniecki;6;6
2408;mikołowski;6;5
2409;myszkowski;4;7
2410;pszczyński;9;11
2411;raciborski;5;10
2412;rybnicki;1;1
2413;tarnogórski;11;11
2414;bieruńsko-lędziński;1;3
2415;wodzisławski;5;6
2416;zawierciański;8;12
2417;żywiecki;14;21
2461;m.Bielsko-Biała;10;18
2462;m.Bytom;4;5
2463;m.Chorzów;5;7
2464;m.Częstochowa;9;11
2465;m.Dąbrowa Górnicza;5;5
2466;m.Gliwice;13;15
2467;m.Jastrzębie-Zdrój;3;5
2468;m.Jaworzno;4;5
2469;m.Katowice;19;20
2470;m.Mysłowice;0;0
2471;m.Piekary Śląskie;4;6
2472;m.Ruda Śląska;2;3
2473;m.Rybnik;8;6
2474;m.Siemianowice Śląskie;2;2
2475;m.Sosnowiec;3;7
2476;m.Świętochłowice;1;1
2477;m.Tychy;10;10
2478;m.Zabrze;7;10
2479;m.Żory;3;5
2601;buski;10;16
2602;jędrzejowski;2;4
2603;kazimierski;1;3
2604;kielecki;21;36
2605;konecki;9;9
2606;opatowski;1;4
2607;ostrowiecki;9;9
2608;pińczowski;1;2
2609;sandomierski;11;11
2610;skarżyski;5;8
2611;starachowicki;3;3
2612;staszowski;4;5
2613;włoszczowski;4;3
2661;m.Kielce;25;27
2801;bartoszycki;5;5
2802;braniewski;5;5
2803;działdowski;6;7
2804;elbląski;5;4
2805;ełcki;8;7
2806;giżycki;13;19
2807;iławski;10;14
2808;kętrzyński;7;4
2809;lidzbarski;3;5
2810;mrągowski;31;28
2811;nidzicki;3;2
2812;nowomiejski;3;2
2813;olecki;2;3
2814;olsztyński;10;12
2815;ostródzki;16;18
2816;piski;10;10
2817;szczycieński;6;8
2818;gołdapski;5;5
2819;węgorzewski;2;4
2861;m.Elbląg;11;11
2862;m.Olsztyn;16;16
3001;chodzieski;12;10
3002;czarnkowsko-trzcianecki;8;7
3003;gnieźnieński;21;14
3004;gostyński;6;4
3005;grodziski;5;5
3006;jarociński;6;6
3007;kaliski;5;9
