no;name;movies
100;Henry Hall;2
101;Warner Anderson;2
102;Lupe Velez;2
103;Virginia Ainsworth;2
104;Mary McAllister;2
105;Kathy Garver;2
106;Raúl Martínez;2
107;Jack Evans;2
108;Roger Darton;2
109;Slim Padgett;2
110;Lottie Pickford;2
111;Laura Sears;2
112;Myrla Bratton;2
113;Robert Kotecki;2
114;Richard Roundtree;2
115;Luis Villar;2
116;Carl Miller;2
117;George Tobias;2
118;Marion Aye;2
119;Arlene Dahl;2
120;John Beal;2
121;Blackie Thompson;2
122;Sergio Goyri;2
123;Alice Dahl;2
124;Scott Pembroke;2
125;F.M. Van Norman;2
126;Fred J. Butler;2
127;Raoul Paoli;2
128;Pauline Frederick;2
129;Francisco Petrone;2
130;Jeff Davis;2
131;Anne Howard;2
132;Aldo Ray;2
133;Remo Capitani;2
134;Jesse Williams;2
135;Rip Torn;2
136;Robert Stack;2
137;Gilbert Clayton;2
138;Louis Fitzroy;2
139;Adrian Hoven;2
140;Jack Hanlon;2
141;Luana Alcañiz;2
142;Terry Traynor;2
143;Angela Stevens;2
144;Shannon Day;2
145;Lincoln Tate;2
146;Richard Rosson;2
147;Carl Möhner;2
148;Thomas Fritsch;2
149;Edita Clomera;2
150;Cy Kendall;2
151;Stefania Antonucci;2
152;Annette DeFoe;2
153;Harry Worth;2
154;Juan Miranda;2
155;Marie Versini;2
156;Fernando Bilbao;2
157;Edythe Chapman;2
158;Fred Hank;2
159;Mary Pickford;2
160;Elda Peralta;2
161;Guido Mannari;2
162;Frederick Vroom;2
163;Betty Brice;2
164;Tansu Sayin;2
165;Jeff Bridges;2
166;Phyllis Thaxter;2
167;Bernard Siegel;2
168;Vincent D'Onofrio;2
169;Frank Jaquet;2
170;Gilda Arancio;2
171;Michael Whalen;2
172;Anastasia Georgina Kissel;2
173;Allan Forrest;2
174;Shemp Howard;2
175;Perla Bautista;2
176;Boy the Wonder Horse;2
177;Joachim Fuchsberger;2
178;Bertram Grassby;2
179;Lon Chaney;2
180;Jeanne Helbling;2
181;Don Costello;2
182;J. Barney Sherry;2
183;Thadd Turner;2
184;Linda Darnell;2
185;Jacqueline White;2
186;Marie Newall;2
187;Mike Marshall;2
188;Dorothy Wilson;2
189;Jack Neil;2
190;Kathryn Adams;2
191;Hattie Buskirk;2
192;Rey Lapid;2
193;Helen Gamboa;2
194;Harry McLaughlin;2
195;H.B. Warner;2
196;Virginia Vale;2
197;Frank Coghlan Jr.;2
198;Marguerite Hungerford;2
199;Gabriella Giorgelli;2
200;Lucretia Love;2
201;Emilio Estevez;2
202;Ann Sheridan;2
203;Dorcas Matthews;2
204;Carmel Myers;2
205;Bill Conant;2
206;Angelo Infanti;2
207;Humberto Elizondo;2
208;Sam Waterston;2
209;Hans Albers;2
210;Gail Kane;2
211;Billy Green Bush;2
212;Beatrice Dominguez;2
213;Joe Smith Marba;2
214;Jeremy Childs;2
215;Wallace Reid;2
216;Gertrude Astor;2
217;Nathaniel Arcand;2
218;Pascale Petit;2
219;Kitty Vallacher;2
220;Ada Ince;2
221;Robert Graves;2
222;Huntley Gordon;2
223;Altan Günbay;2
224;Doris Pawn;2
225;Gale Robbins;2
226;María Félix;2
227;Anita King;2
228;Susana Dosamantes;2
229;Dan O'Herlihy;2
230;Lois Ranson;2
231;Nuccia Cardinali;2
232;Harry Myers;2
233;Dindo Fernando;2
234;Brenda Strong;2
235;Aldo Bufi Landi;2
236;Charles Southwood;2
237;Laura Miskin;2
238;Boy;2
239;Miguel Manzano;2
240;Jeremy Sumpter;2
241;Robert Kent;2
242;Jean Heather;2
243;William Prince;2
244;Rochelle Hudson;2
245;Carl Sepulveda;2
246;Jane Wyatt;2
247;Barbara Read;2
248;Dixie Lamont;2
249;Claudia Gravy;2
250;Rich Scheeland;2
251;Aurora Bautista;2
252;Harry Archer;2
253;Gregg Palmer;2
254;Tom Guise;2
255;Joan Collins;2
256;Ray Moyer;2
257;Mauricio Garcés;2
258;Nobel Vega;2
259;Åke Lindman;2
260;Don Stroud;2
261;José Guardiola;2
262;Aura Aurea;2
263;Hardee Kirkland;2
264;Isela Vega;2
265;John St. Polis;2
266;Doug McClure;2
267;Dennis Hopper;2
268;William Conrad;2
269;Vittorio Güttner;2
270;Kingsley Benedict;2
271;Jeffery Patterson;2
272;Enid Bennett;2
273;Stephen Dunne;2
274;Victor Adamson;2
275;George Cooper;2
276;Teala Loring;2
277;Billy 'Red' Jones;2
278;Alejo Álvarez;2
279;Cüneyt Arkin;2
280;Donald Keith;2
281;Alfred Paget;2
282;Cody McCarver;2
283;Gisela Hahn;2
284;Lorraine Randall;2
285;Jack Lord;2
286;Alicja Basili;2
287;Ethel Clayton;2
288;Thornton Edwards;2
289;Carlos East;2
290;Willie Mae Carson;2
291;Minna Redman;2
