rokmc;build;commiss;sunk
1935-06-01;2;1;0
1935-07-01;5;2;0
1935-08-01;4;5;0
1935-09-01;1;4;0
1935-10-01;0;0;0
1935-11-01;2;1;0
1935-12-01;3;1;0
1936-01-01;1;3;0
1936-02-01;2;1;0
1936-03-01;1;1;0
1936-04-01;1;1;0
1936-05-01;0;0;0
1936-06-01;2;0;0
1936-07-01;4;1;0
1936-08-01;3;3;0
1936-09-01;3;3;0
1936-10-01;0;0;0
1936-11-01;1;2;0
1936-12-01;0;0;0
1937-01-01;0;0;0
1937-02-01;1;0;0
1937-03-01;0;0;0
1937-04-01;0;0;0
1937-05-01;0;0;0
1937-06-01;0;0;0
1937-07-01;0;0;0
1937-08-01;0;0;0
1937-09-01;0;0;0
1937-10-01;0;0;0
1937-11-01;0;0;0
1937-12-01;0;0;0
1938-01-01;0;0;0
1938-02-01;0;0;0
1938-03-01;0;0;0
1938-04-01;1;0;0
1938-05-01;1;0;0
1938-06-01;1;1;0
1938-07-01;0;0;0
1938-08-01;1;2;0
1938-09-01;4;0;0
1938-10-01;3;1;0
1938-11-01;1;2;0
1938-12-01;1;3;0
1939-01-01;1;0;0
1939-02-01;1;3;0
1939-03-01;1;1;0
1939-04-01;0;0;0
1939-05-01;2;0;0
1939-06-01;3;1;0
1939-07-01;0;0;0
1939-08-01;2;3;0
1939-09-01;1;1;0
1939-10-01;1;0;5
1939-11-01;3;2;1
1939-12-01;2;3;1
1940-01-01;1;1;2
1940-02-01;0;0;0
1940-03-01;5;2;1
1940-04-01;3;3;2
1940-05-01;3;3;1
1940-06-01;6;3;1
1940-07-01;6;3;2
1940-08-01;7;5;1
1940-09-01;7;7;0
1940-10-01;9;7;1
1940-11-01;7;6;1
1940-12-01;15;9;0
1941-01-01;9;10;1
1941-02-01;16;9;0
1941-03-01;18;11;5
1941-04-01;21;14;2
1941-05-01;18;19;0
1941-06-01;18;14;4
1941-07-01;21;19;0
1941-08-01;18;19;3
1941-09-01;19;15;0
1941-10-01;24;24;2
1941-11-01;18;23;4
1941-12-01;21;22;10
1942-01-01;14;15;3
1942-02-01;10;17;2
1942-03-01;31;17;6
1942-04-01;20;17;2
1942-05-01;20;20;3
1942-06-01;21;21;2
1942-07-01;21;21;12
1942-08-01;20;21;7
1942-09-01;19;19;0
1942-10-01;28;23;16
1942-11-01;17;23;11
1942-12-01;27;23;5
1943-01-01;19;21;4
1943-02-01;20;21;19
1943-03-01;25;27;17
1943-04-01;27;18;14
1943-05-01;23;26;40
1943-06-01;25;25;17
1943-07-01;22;26;34
1943-08-01;20;21;23
1943-09-01;25;21;1
1943-10-01;24;25;25
1943-11-01;22;25;18
1943-12-01;23;28;9
1944-01-01;17;20;13
1944-02-01;17;19;18
1944-03-01;19;23;23
1944-04-01;15;23;16
1944-05-01;11;19;21
1944-06-01;9;11;22
1944-07-01;12;14;24
1944-08-01;18;15;27
1944-09-01;19;20;1
1944-10-01;28;16;6
1944-11-01;25;21;5
1944-12-01;29;28;12
1945-01-01;25;35;11
1945-02-01;13;18;20
1945-03-01;7;26;29
1945-04-01;2;9;45
