teryt;nazwa;przychod
1862;Przemyśl,195.07
1863;Rzeszów,303.43
1864;Tarnobrzeg,210.84
2001;augustowski,150.7
2002;białostocki,190.88
2003;bielski,175.88
2004;grajewski,141.9
2005;hajnowski,177.23
2006;kolneński,99.87
2007;łomżyński,106.5
2008;moniecki.97
2009;sejneński,123.12
2010;siemiatycki,121.11
2011;sokólski,126.07
2012;suwalski,121.15
2013;wysokomazowiecki,153.02
2014;zambrowski,169.69
2061;Białystok,267.53
2062;Łomża,227.53
2063;Suwałki,209.42
2201;bytowski,158.77
2202;chojnicki,180.2
2203;człuchowski,145.41
2204;gdański,271.69
2205;kartuski,205.71
2206;kościerski,158.2
2207;kwidzyński,182.63
2208;lęborski,181.41
2209;malborski,181.15
2210;nowodworski,161.75
2211;pucki,207.47
2212;słupski,191.76
2213;starogardzki,178.25
2214;tczewski,191.18
2215;wejherowski,213.28
2216;sztumski,130.75
2261;Gdańsk,381.73
2262;Gdynia,380.09
2263;Słupsk,252.18
2264;Sopot,515.12
2401;będziński,283.52
2402;bielski,284.96
2403;cieszyński,235.14
2404;częstochowski,188.87
2405;gliwicki,261.79
2406;kłobucki,200.19
2407;lubliniecki,190.89
2408;mikołowski,325.67
2409;myszkowski,209.17
2410;pszczyński,280.92
2411;raciborski,191.32
2412;rybnicki,243.04
2413;tarnogórski,276.14
2414;bieruńsko-lędziński,305.65
2415;wodzisławski,249.13
2416;zawierciański,220.48
2417;żywiecki,201.05
2461;Bielsko-Biała,345.43
2462;Bytom,217.53
2463;Chorzów,267.79
2464;Częstochowa,273.16
2465;Dąbrowa Górnicza,297.48
2466;Gliwice,345.67
2467;Jastrzębie-Zdrój,271.28
2468;Jaworzno,297.7
2469;Katowice,395.83
2470;Mysłowice,307.71
2471;Piekary Śląskie,256.33
2472;Ruda Śląska,270.05
2473;Rybnik,275.82
2474;Siemianowice Śląskie,266.55
2475;Sosnowiec,280.16
2476;Świętochłowice,218.23
2477;Tychy,341.05
2478;Zabrze,243.66
2479;Żory,263.19
2601;buski,153.87
2602;jędrzejowski,137.03
2603;kazimierski,90.39
2604;kielecki,158.38
2605;konecki,142.09
2606;opatowski,122.15
2607;ostrowiecki,175.18
2608;pińczowski,139.31
2609;sandomierski,150.55
2610;skarżyski,185.26
2611;starachowicki,176.88
2612;staszowski,156.74
2613;włoszczowski,138.04
2661;Kielce,295.57
2801;bartoszycki,148.93
2802;braniewski,154.05
2803;działdowski,157.05
2804;elbląski,140.8
2805;ełcki,155.19
2806;giżycki,175.72
2807;iławski,173.55
2808;kętrzyński,147.12
2809;lidzbarski,147.19
2810;mrągowski,165.96
2811;nidzicki,126.02
2812;nowomiejski,127.49
2813;olecki,138.18
2814;olsztyński,202.06
2815;ostródzki,164.42
2816;piski,132.32
2817;szczycieński,153.32
2818;gołdapski,126.07
2819;węgorzewski,141.92
2861;Elbląg,252.07
2862;Olsztyn,305.66
3001;chodzieski,195.06
3002;czarnkowsko-trzcianecki,175.42
