Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;excoords;q;xcoord;ycoord
725;680;Aluplast sp. z o.o., Poznań;2223;518452;20747;Poznań, PL;52.440615 16.91905;PL,PL;52.427393;16.904737
726;783;Kaczmarek Malewo sp.j., Gostyń;2221;517292;62133;Gostyń, PL;51.884934 17.013286;PL,PL;51.882072;17.014052
727;862;PKC Group Poland sp. z o.o., Starachowice;2931;515974;-20138;Starachowice, PL;51.051887 21.076138;PL,PL;51.051834;21.079994
728;1249;Lumiko sp. z o.o., Łuków;1051;515285;12748;Łuków, PL;51.926392 22.38508;PL,PL;51.929916;22.385551
729;693;AIR Products sp. z o.o., Warszawa;2011;514851;62826;Warszawa, PL;52.231924 21.006727;PL,PL;52.218366;20.991323
730;651;Grammer Automotive, Bielsko-Biała;2932;513114;13791;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;49.832202;19.057521
731;842;Sii sp. z o.o., Warszawa;6201;512461;50638;Warszawa, PL;52.231924 21.006727;PL,PL;52.233410;20.983581
732;639;Leaseplan Fleet Management sp. z o.o., Warszawa;7711;512267;26558;Warszawa, PL;52.231924 21.006727;PL,PL;52.250875;21.027453
733;768;Diagnostyka sp. z o.o., Kraków;8690;512169;56550;Kraków, PL;50.064529 19.983206;PL,PL;50.061359;20.011905
734;601;Ceramika Paradyż sp. z o.o., Opoczno;2331;511910;5854;Opoczno, PL;51.376816 20.28645;PL,PL;51.377883;20.283208
735;900;Servier Polska Services sp. z o.o., Warszawa;4646;510578;5460;Warszawa, PL;52.231924 21.006727;PL,PL;52.246694;20.966947
736;1028;PG Silesia sp. z o.o., Czechowice-Dziedzice;510;509014;-111102;Czechowice-Dziedzice, PL;49.911215 19.007564;PL,PL;49.906756;19.010029
737;647;TFP sp. z o.o., Kórnik;1721;508863;5693;Kórnik, PL;52.249275 17.090124;PL,PL;52.248004;17.087715
738;729;Cementownia Warta SA, Działoszyn;2351;505328;42324;Działoszyn, PL;51.116804 18.865163;PL,PL;51.116225;18.864924
739;689;Foodcare sp. z o.o., Zabierzów;1089;502117;20036;Zabierzów, PL;50.114639 19.799381;PL,PL;50.116147;19.797567
740;772;Novo SA, Tychy;4646;501942;4329;Tychy, PL;50.124731 18.986993;PL,PL;50.124875;18.991801
741;695;MPK SA, Kraków;4931;501737;10363;Kraków, PL;50.064529 19.983206;PL,PL;50.068847;19.965008
742;732;Crist sp. z o.o., Gdynia;3011;500914;6194;Gdynia, PL;54.451129 18.323977;PL,PL;54.449289;18.332388
743;955;Target Polska sp. z o.o. sp.k., Warszawa;4633;498049;13986;Warszawa, PL;52.231924 21.006727;PL,PL;52.259745;20.951884
744;747;BA Glass Poland sp. z o.o., Poznań;2313;496547;58081;Poznań, PL;52.440615 16.91905;PL,PL;52.432099;16.917887
745;670;Sante A Kowalski sp.j., Warszawa;1061;496117;16138;Warszawa, PL;52.231924 21.006727;PL,PL;52.179117;21.026143
746;731;Ambra SA GK, Warszawa;1102;495660;41889;Warszawa, PL;52.231924 21.006727;PL,PL;52.199282;20.977424
747;619;Zakłady Drobiarskie Koziegłowy sp. z o.o., Koziegłowy;1013;495341;651;Koziegłowy, PL;52.651294 16.079596;PL,PL;52.649135;16.081283
748;734;Golpasz SA, Golub-Dobrzyń;1091;494580;5533;Golub-Dobrzyń, PL;53.113892 19.05445;PL,PL;53.113408;19.058185
749;770;Mas sp. z o.o., Katowice;4690;493677;8685;Katowice, PL;50.259899 19.021585;PL,PL;50.250620;19.023422
750;745;Crown Packaging sp. z o.o., Goleniów;2592;493568;-2860;Goleniów, PL;53.56636 14.830621;PL,PL;53.567913;14.829589
751;720;United Beverages SA, Toruń;4634;492711;10623;Toruń, PL;53.021067 18.618612;PL,PL;53.022905;18.628765
752;807;Arge Paliwa sp. z o.o., Kraków;4671;492380;139;Kraków, PL;50.064529 19.983206;PL,PL;50.079464;19.988744
753;742;Zakłady Mięsne Szubryt, Chełmiec;1013;492058;9120;Chełmiec, PL;51.057185 22.734083;PL,PL;51.055885;22.732724
754;705;Instal - Konsorcjum sp. z o.o., Wrocław;4690;490626;1884;Wrocław, PL;51.108978 17.032669;PL,PL;51.096470;17.011769
755;715;Procter&Gamble Operations Polska sp. z o.o., W-wa;2041;490141;135384;W-wa, PL;-38.822628 -68.05733;PL,PL;-38.823681;-68.054450
756;743;Pamapol SA GK, Rusiec;1013;489529;-2567;Rusiec, PL;51.32452 18.98603;PL,PL;51.321627;18.984778
757;718;Aquanet SA GK, Poznań;3600;488153;65679;Poznań, PL;52.440615 16.91905;PL,PL;52.447742;16.930938
758;839;Biuro Techniczno-Handlowe BTH Import-Stal, Kraków;4674;486456;33473;Kraków, PL;50.064529 19.983206;PL,PL;50.081579;19.979708
759;760;Stocznia Remontowa Nauta SA, Gdynia;3315;486206;b.d.;Gdynia, PL;54.451129 18.323977;PL,PL;54.441695;18.321560
760;657;GPEC sp. z o.o. GK, Gdańsk;3530;486161;64936;Gdańsk, PL;54.347628 18.645203;PL,PL;54.330467;18.643334
761;690;Agrocentrum sp. z o.o., Kolno;1091;486075;1937;Kolno, PL;53.410938 21.931244;PL,PL;53.412168;21.931566
762;840;Panalpina Polska sp. z o.o., Wrocław;5229;485197;23100;Wrocław, PL;51.108978 17.032669;PL,PL;51.101615;17.023904
763;676;ELIT Polska sp. z o.o., Kraków;4531;485086;-7992;Kraków, PL;50.064529 19.983206;PL,PL;50.079733;19.967747
764;609;SECO/Warwick SA GK, Świebodzin;2821;483903;-41843;Świebodzin, PL;49.95728 20.963365;PL,PL;49.956027;20.966085
765;815;Kaczmarek Electric SA GK, Wolsztyn;4690;483651;4981;Wolsztyn, PL;52.11725 16.112662;PL,PL;52.120625;16.112130
766;931;SPX Flow Technology Poland sp. z o.o., Bydgoszcz;2893;483553;13989;Bydgoszcz, PL;53.121965 18.000253;PL,PL;53.123474;18.008386
767;764;PW Autos sp. z o.o., Solec Kujawski;4531;483267;18891;Solec Kujawski, PL;53.079197 18.224609;Kujawski,;53.081916;18.227829
768;784;Targban sp. z o.o., Warszawa;4631;483195;8667;Warszawa, PL;52.231924 21.006727;PL,PL;52.206437;21.059532
769;682;Pfleiderer Wieruszów sp. z o.o., Wieruszów;1261;481050;-7384;Wieruszów, PL;51.295165 18.151062;PL,PL;51.295507;18.146684
770;836;Wialan Langer i Wiatr sp.j., Tarnów;4675;480513;7783;Tarnów, PL;50.012378 20.988074;PL,PL;50.014543;20.982448
771;776;Copernicus Podmiot Leczniczy sp. z o.o., Gdańsk;8610;479464;-13771;Gdańsk, PL;54.347628 18.645203;PL,PL;54.352276;18.653809
772;699;Zakłady Lentex SA GK, Lubliniec;1395;478677;41045;Lubliniec, PL;50.669063 18.682579;PL,PL;50.667857;18.684215
773;979;Tom sp. z o.o., Szczecin;4677;477467;16711;Szczecin, PL;50.276037 9.90885;PL,PL;50.270950;9.911556
774;789;Omega Pilzno ITiS sp. z o.o. GK, Pilzno;4941;477431;b.d.;Pilzno, PL;49.747742 13.377525;PL,PL;49.744905;13.376611
775;735;SumiRiko Poland sp. z o.o., Wolbrom;2219;474205;-3666;Wolbrom, PL;50.384839 19.759884;PL,PL;50.381151;19.759549
776;758;KNAUF sp. z o.o., Warszawa;4673;473841;57230;Warszawa, PL;52.231924 21.006727;PL,PL;52.241993;21.032266
777;655;Koral SA, Tczew;1020;472357;-25769;Tczew, PL;54.086953 18.800029;PL,PL;54.089589;18.808540
778;692;Metro Warszawskie sp. z o.o., Warszawa;4931;472071;25439;Warszawa, PL;52.231924 21.006727;PL,PL;52.240926;21.040382
779;778;Arval Service Lease sp. z o.o., Warszawa;7711;471926;29908;Warszawa, PL;52.231924 21.006727;PL,PL;52.189206;20.960949
