Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;excoords;q;xcoord;ycoord
1;1;Polski Koncern Naftowy Orlen SA GK, Płock;1920;95364000;7173000;Płock, PL;52.546452 19.700861;PL,PL;52.543238;19.702961
2;2;Jeronimo Martins Polska SA, Kostrzyn;4719;48166199;1721514;Kostrzyn, PL;52.395871 17.230281;PL,PL;52.392223;17.233312
3;3;PGNiG SA GK, Warszawa;3523;35857000;2921000;Warszawa, PL;52.231924 21.006727;PL,PL;52.218941;21.001702
4;6;Grupa Lotos SA GK, Gdańsk;1920;24185600;1671800;Gdańsk, PL;54.347628 18.645203;PL,PL;54.331536;18.653964
5;5;Eurocash SA GK, Poznań;4690;23271078;84841;Poznań, PL;52.440615 16.91905;PL,PL;52.441920;16.918792
6;4;PGE Polska Grupa Energetyczna GK SA, Warszawa;3514;23100000;2667000;Warszawa, PL;52.231924 21.006727;PL,PL;52.208504;21.030964
7;7;KGHM Polska Miedź SA GK, Lubin;729;20358000;1525000;Lubin, PL;51.397447 16.205128;PL,PL;51.393219;16.210665
8;8;Tauron Polska Energia SA GK, Katowice;3514;17416029;1382946;Katowice, PL;50.259899 19.021585;PL,PL;50.247404;19.019107
9;13;Orlen Paliwa sp. z o.o., Widełka;4671;17192400;48998;Widełka, PL;50.209503 21.899191;PL,PL;50.209795;21.900406
10;10;Cinkciarz.pl sp. z o.o., Zielona Góra;6612;17030978;617;Zielona Góra, PL;51.938334 15.504995;Góra,;51.935211;15.509166
11;12;Volkswagen Poznań sp. z o.o., Poznań;2910;16161395;451336;Poznań, PL;52.440615 16.91905;PL,PL;52.443520;16.895214
12;11;Lidl sp. z o.o. sp.k., Tarnowo Podgórne;4711;16048568;b.d.;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;52.464015;16.665274
13;16;ArcelorMittal Poland SA, Dąbrowa Górnicza;2410;15718576;311860;Dąbrowa Górnicza, PL;50.330981 19.196328;Górnicza,;50.327347;19.195477
14;9;FCA Poland SA, Bielsko-Biała;2910;14382606;310743;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;49.828461;19.036217
15;18;Volkswagen Group Polska sp. z o.o., Poznań;4511;13154494;115205;Poznań, PL;52.440615 16.91905;PL,PL;52.426586;16.905207
16;15;Enea SA GK, Poznań;3511;11661269;1164891;Poznań, PL;52.440615 16.91905;PL,PL;52.440116;16.905446
17;20;PSH Lewiatan GK, Włocławek;7740;11500000;b.d.;Włocławek, PL;52.651059 19.064102;PL,PL;52.652805;19.069306
18;14;Orange Polska SA GK, Warszawa;6110;11381000;-60000;Warszawa, PL;52.231924 21.006727;PL,PL;52.196233;21.049768
19;17;BP Europa SE, Kraków;4671;11009763;399874;Kraków, PL;50.064529 19.983206;PL,PL;50.073682;20.005111
20;19;Tesco (Polska) sp. z o.o., Kraków;4729;10600000;b.d.;Kraków, PL;50.064529 19.983206;PL,PL;50.078779;19.964361
21;22;Energa SA GK, Gdańsk;3514;10533915;789313;Gdańsk, PL;54.347628 18.645203;PL,PL;54.346821;18.651580
22;24;Auchan Polska sp. z o.o., Piaseczno;4711;10212000;113934;Piaseczno, PL;53.58206 16.13332;PL,PL;53.577606;16.137838
23;23;Kaufland Polska Markety sp. z o.o. sp.k., Wrocław;4711;10079118;204499;Wrocław, PL;51.108978 17.032669;PL,PL;51.129955;17.027788
24;25;Cyfrowy Polsat SA GK, Warszawa;6020;9828600;945200;Warszawa, PL;52.231924 21.006727;PL,PL;52.212675;21.046238
25;28;PGL Lasy Państwowe, Warszawa;210;9716277;432455;Warszawa, PL;52.231924 21.006727;PL,PL;52.214068;21.005428
26;27;PPHU Specjał sp. z o.o. GK, Warszawa;4639;9654764;13257;Warszawa, PL;52.231924 21.006727;PL,PL;52.275570;20.991992
27;29;Grupa Azoty SA GK, Tarnów;2015;9617495;488826;Tarnów, PL;50.012378 20.988074;PL,PL;50.018250;20.986646
28;26;Pelion SA GK, Łódź;4646;9436392;74431;Łódź, PL;51.768732 19.456991;PL,PL;51.767521;19.453971
29;30;Polskie Sieci Elektroenergetyczne SA, Konstancin;3512;8886789;530952;Konstancin, PL;52.094186 19.348618;PL,PL;52.094935;19.349210
30;39;Jastrzębska Sp. Węglowa SA GK, Jastrzębie-Zdrój;510;8877200;2543300;Jastrzębie-Zdrój, PL;49.951909 18.602361;PL,PL;49.948190;18.601278
31;32;Grupa PKP SA, Warszawa;7010;8501384;652934;Warszawa, PL;52.231924 21.006727;PL,PL;52.174048;21.010553
32;31;AB SA GK, Magnice;4690;8481070;64565;Magnice, PL;50.989386 16.952736;PL,PL;50.989643;16.949892
33;51;LG Electronics Mława sp. z o.o., Mława;2640;8432249;26977;Mława, PL;53.111509 20.382012;PL,PL;53.114883;20.379997
34;87;Polska Grupa Górnicza SA GK, Katowice;510;8238086;91677;Katowice, PL;50.259899 19.021585;PL,PL;50.265148;19.027612
35;21;Opel Manufacturing Poland sp. z o.o., Gliwice;2910;8131955;207005;Gliwice, PL;50.294113 18.665731;PL,PL;50.292996;18.666839
36;33;Asseco Poland SA GK, Rzeszów;6201;7830500;600100;Rzeszów, PL;50.037453 22.004717;PL,PL;50.047590;22.005203
37;36;Rossmann SD Polska sp. z o.o., Łódź;4775;7706003;859078;Łódź, PL;51.768732 19.456991;PL,PL;51.775324;19.465049
38;34;Carrefour Polska sp. z o.o., Warszawa;4711;7583528;2026;Warszawa, PL;52.231924 21.006727;PL,PL;52.189603;20.980378
39;35;Neuca SA GK, Toruń;4646;7485234;94060;Toruń, PL;53.021067 18.618612;PL,PL;53.018068;18.620624
40;43;Żabka Polska sp. z o.o., Poznań;7010;7200000;b.d.;Poznań, PL;52.440615 16.91905;PL,PL;52.448770;16.933600
41;67;Synthos SA GK, Oświęcim;2416;7152963;b.d.;Oświęcim, PL;50.038088 19.226107;PL,PL;50.040390;19.227775
42;42;Grupa Muszkieterów, Tarnowo Podgórne;4719;7100000;b.d.;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;52.468405;16.671351
43;48;LPP SA GK, Gdańsk;4771;7029425;440851;Gdańsk, PL;54.347628 18.645203;PL,PL;54.337752;18.628870
44;38;Polkomtel sp. z o.o., Warszawa;6110;6983600;384500;Warszawa, PL;52.231924 21.006727;PL,PL;52.240882;20.960789
45;41;Philips Lighting Poland sp. z o.o., Piła;2740;6932875;41416;Piła, PL;49.413967 12.856068;PL,PL;49.419056;12.857538
46;50;Inter Cars SA GK, Warszawa;4531;6908365;216428;Warszawa, PL;52.231924 21.006727;PL,PL;52.220383;20.998516
47;49;Shell Polska sp. z o.o, Warszawa;4730;6754380;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.172884;21.038110
48;37;Makro Cash and Carry SA, Warszawa;4634;6670844;-378;Warszawa, PL;52.231924 21.006727;PL,PL;52.291800;20.993610
49;47;P4 sp. z o.o., Warszawa;6120;6669859;971832;Warszawa, PL;52.231924 21.006727;PL,PL;52.270868;20.973973
50;45;Samsung Electronics Polska sp. z o.o., Warszawa;4690;6501442;140360;Warszawa, PL;52.231924 21.006727;PL,PL;52.181388;21.030379
51;46;Castorama Polska sp. z o.o., Warszawa;4754;6500000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.241006;21.047365
52;40;T-Mobile Polska SA, Warszawa;6120;6394165;37227;Warszawa, PL;52.231924 21.006727;PL,PL;52.266410;21.053921
53;58;Budimex SA GK, Warszawa;4211;6369308;464594;Warszawa, PL;52.231924 21.006727;PL,PL;52.268009;21.005668
54;44;Volkswagen Motor Polska sp. z o.o., Polkowice;2910;6337657;178270;Polkowice, PL;51.503929 16.071337;PL,PL;51.505064;16.064214
55;52;Poczta Polska SA GK, Warszawa;5310;6335410;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.213008;20.942565
56;;Mercedes-Benz Polska sp. z o.o., Warszawa;4511;6327935;106376;Warszawa, PL;52.231924 21.006727;PL,PL;52.219925;20.965100
57;55;Boryszew SA GK, Sochaczew;2059;6290336;203894;Sochaczew, PL;52.22697 20.242225;PL,PL;52.230581;20.245874
58;54;Grupa Can-Pack SA, Kraków;2592;6169072;511429;Kraków, PL;50.064529 19.983206;PL,PL;50.071840;20.008549
59;53;Farmacol SA GK, Katowice;4646;5842012;75240;Katowice, PL;50.259899 19.021585;PL,PL;50.268221;19.023116
60;56;British American Tobacco Trading sp. z o.o., W-wa;4635;5774037;34219;W-wa, PL;-38.822628 -68.05733;PL,PL;-38.822638;-68.053249
61;57;PKP Polskie Linie Kolejowe SA, Warszawa;5221;5717648;15136;Warszawa, PL;52.231924 21.006727;PL,PL;52.277194;21.023508
62;62;Animex Foods sp. z o.o. sp.k., Warszawa;4632;5695000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.218501;21.006696
63;59;Grupa Valeo w Polsce, Skawina;2932;5507805;353510;Skawina, PL;49.974751 19.82657;PL,PL;49.971794;19.829897
64;66;JTI Polska sp. z o.o., Gostków Stary;1200;5392964;101062;Gostków Stary, PL;39.78373 -100.445882;Stary,;39.780873;-100.438243
65;79;AmRest Holdings SE GK;7010;5265507;182281;Madrid, ES ;41.536509 -4.403378;ES;41.534923;-4.400986
66;60;Polska Grupa Farmaceutyczna SA GK, Łódź;4646;5255375;22543;Łódź, PL;51.768732 19.456991;PL,PL;51.764134;19.464292
67;64;Imperial Tobacco Polska SA, Tarnowo Podgórne;1200;5183246;96501;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;52.459392;16.664274
68;68;Polska Spółka Gazownictwa sp. z o.o., Warszawa;3522;5140942;1233610;Warszawa, PL;52.231924 21.006727;PL,PL;52.219671;21.042750
69;65;Michelin Polska SA, Olsztyn;2211;4987549;331140;Olsztyn, PL;53.775411 20.481225;PL,PL;53.777536;20.488170
70;61;Polska Grupa Zbrojeniowa SA GK, Radom;6420;4900000;b.d.;Radom, PL;51.40107 21.153411;PL,PL;51.396598;21.159985
71;91;Polskie Linie Lotnicze LOT SA, Warszawa;5110;4797927;354166;Warszawa, PL;52.231924 21.006727;PL,PL;52.231847;20.963749
72;72;Cargill Poland sp. z o.o., Warszawa;1062;4769200;150275;Warszawa, PL;52.231924 21.006727;PL,PL;52.186559;21.027384
73;80;Leroy Merlin Polska sp. z o.o., Warszawa;4752;4732550;161740;Warszawa, PL;52.231924 21.006727;PL,PL;52.197519;21.005572
74;83;Toyota Motor Poland Comp. sp. z o.o., Warszawa;4511;4715220;607;Warszawa, PL;52.231924 21.006727;PL,PL;52.291915;20.984998
75;76;Grupa Saint-Gobain w Polsce, Warszawa;2312;4700000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.221344;21.056015
76;75;PKP Cargo SA GK, Warszawa;4920;4692653;81673;Warszawa, PL;52.231924 21.006727;PL,PL;52.230948;20.986869
77;70;Totalizator Sportowy sp. z o.o. GK, Warszawa;9200;4667118;302484;Warszawa, PL;52.231924 21.006727;PL,PL;52.221117;21.012001
78;63;ABC Data SA GK, Warszawa;4651;4635294;25412;Warszawa, PL;52.231924 21.006727;PL,PL;52.190373;21.056378
79;74;IKEA Industry Poland sp. z o.o., Goleniów;3109;4599254;139939;Goleniów, PL;53.56636 14.830621;PL,PL;53.570309;14.830872
80;82;GlaxoSmithKline Pharmaceuticals SA, Poznań;2120;4528503;75456;Poznań, PL;52.440615 16.91905;PL,PL;52.456345;16.906069
81;99;Dino Polska SA GK, Krotoszyn;4711;4515933;213604;Krotoszyn, PL;51.695926 17.437416;PL,PL;51.692524;17.439759
82;69;Electrolux Poland sp. z o.o., Warszawa;2751;4491499;73979;Warszawa, PL;52.231924 21.006727;PL,PL;52.209779;20.968273
83;71;Unilever Polska SA GK, Warszawa;4638;4472981;92980;Warszawa, PL;52.231924 21.006727;PL,PL;52.234512;20.982576
84;81;Grupa Mlekovita, Wysokie Mazowieckie;1051;4439635;95129;Wysokie Mazowieckie, PL;52.915499 22.51312;Mazowieckie,;52.912593;22.514207
85;77;Grupa Maspex, Wadowice;5170;4425331;b.d.;Wadowice, PL;49.883448 19.492535;PL,PL;49.880415;19.489351
86;78;Circle K Polska sp. z o.o., Warszawa;4730;4395228;46319;Warszawa, PL;52.231924 21.006727;PL,PL;52.231711;21.040499
87;;Media Markt Saturn w Polsce, Warszawa;7022;4300000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.230158;20.978364
88;108;CCC SA GK, Polkowice;4772;4194000;302300;Polkowice, PL;51.503929 16.071337;PL,PL;51.504228;16.075728
89;85;Pfleiderer Group SA GK, Wrocław;2024;4187509;71314;Wrocław, PL;51.108978 17.032669;PL,PL;51.088626;17.030386
90;84;Kompania Piwowarska SA, Poznań;1105;4154908;b.d.;Poznań, PL;52.440615 16.91905;PL,PL;52.443596;16.937041
91;73;Glencore Polska sp. z o.o., Gdańsk;4676;4030724;5968;Gdańsk, PL;54.347628 18.645203;PL,PL;54.360050;18.629916
92;105;Spółdzielnia Mleczarska Mlekpol, Grajewo;1051;4020085;b.d.;Grajewo, PL;53.647567 22.455389;PL,PL;53.646751;22.458063
93;90;Man Trucks sp. z o.o., Niepołomice;2910;3993367;42250;Niepołomice, PL;50.033182 20.216801;PL,PL;50.033382;20.217560
94;88;Grupa Skanska SA, Warszawa;4120;3852400;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.224214;21.072268
95;95;Renault Polska sp. z o.o., Warszawa;4511;3815744;36952;Warszawa, PL;52.231924 21.006727;PL,PL;52.211696;20.976214
96;93;TRW Polska sp. z o.o., Częstochowa;2932;3751240;82988;Częstochowa, PL;50.812047 19.113213;PL,PL;50.819330;19.112644
97;100;Grupa Sokołów SA, Sokołów Podlaski;1011;3667667;b.d.;Sokołów Podlaski, PL;52.40818 22.252493;Podlaski,;52.407017;22.253295
98;104;Ikea Retail sp. z o.o., Raszyn;4759;3654781;-55488;Raszyn, PL;52.158333 20.924167;PL,PL;52.160233;20.928899
99;94;Ciech SA GK, Warszawa;4675;3579393;393975;Warszawa, PL;52.231924 21.006727;PL,PL;52.191738;21.038967
100;106;Grupa Basell Orlen Polyolefins sp. z o.o., Płock;4675;3525802;b.d.;Płock, PL;52.546452 19.700861;PL,PL;52.544825;19.695415
101;98;Węglokoks SA GK, Katowice;4671;3510672;191371;Katowice, PL;50.259899 19.021585;PL,PL;50.256245;19.019359
102;111;Stalprodukt SA GK, Bochnia;2432;3501090;275428;Bochnia, PL;49.911389 20.857222;PL,PL;49.915360;20.855678
103;102;Grupa Azoty Zakłady Azotowe Puławy SA GK;2015;3490902;258212;## Grupa Azoty Zakłady Azotowe Puławy SA GK, PL; ;;-0.001692;-0.001128
104;89;Volvo Polska sp. z o.o., Wrocław;2910;3470785;30148;Wrocław, PL;51.108978 17.032669;PL,PL;51.130881;17.041665
105;112;Tele-Fonika Kable SA, Myślenice;2611;3417909;39778;Myślenice, PL;49.834608 19.938428;PL,PL;49.838630;19.936784
106;120;Impexmetal SA GK, Warszawa;2442;3353387;60857;Warszawa, PL;52.231924 21.006727;PL,PL;52.234884;21.074452
107;92;FCA Powertrain Poland sp. z o.o., Bielsko-Biała;2910;3345168;182240;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;49.820176;19.042958
108;123;Cedrob SA, Ciechanów;1013;3322030;167121;Ciechanów, PL;52.881408 20.611076;PL,PL;52.881323;20.609049
109;97;Whirlpool Company Polska sp. z o.o., Warszawa;2751;3308529;-257407;Warszawa, PL;52.231924 21.006727;PL,PL;52.276525;21.024076
110;107;Nestle Polska SA, Warszawa;1089;3305528;223469;Warszawa, PL;52.231924 21.006727;PL,PL;52.275977;20.997143
111;101;Grupa Magneti Marelli w Polsce, Sosnowiec;2932;3267000;b.d.;Sosnowiec, PL;50.280692 19.13493;PL,PL;50.278388;19.141433
112;114;Grupa Strabag sp. z o.o., Pruszków;4211;3257261;75883;Pruszków, PL;52.164353 20.801739;PL,PL;52.158976;20.803573
113;113;Netto sp. z o.o., Kobylanka;4729;3231739;72941;Kobylanka, PL;51.097773 20.717564;PL,PL;51.100487;20.717035
114;121;Mondi Świecie SA, Świecie;1712;3186445;684004;Świecie, PL;53.407252 18.445525;PL,PL;53.404044;18.449216
115;119;Samsung Electronics Poland Manufa., Wronki;2751;3160987;105770;Wronki, PL;52.710123 16.374227;PL,PL;52.712682;16.375783
116;146;Arcelormittal Distribution Solutions, Katowice;4672;3131040;38413;Katowice, PL;50.259899 19.021585;PL,PL;50.275232;19.029319
117;126;Morpol sp. z o.o., Ustka;1020;3101200;-93237;Ustka, PL;54.581125 16.861296;PL,PL;54.580150;16.858303
118;131;Anwim SA, Warszawa;4671;3093918;10100;Warszawa, PL;52.231924 21.006727;PL,PL;52.260302;20.979815
119;116;Transgourmet Polska sp. z o.o., Poznań;4690;3086003;57906;Poznań, PL;52.440615 16.91905;PL,PL;52.443413;16.914204
120;134;Unimot SA GK, Zawadzkie;4671;3005002;22440;Zawadzkie, PL;51.906389 17.899444;PL,PL;51.908557;17.903024
121;118;Arctic Paper Kostrzyn SA GK, Poznań;6420;2952806;64991;Poznań, PL;52.440615 16.91905;PL,PL;52.447115;16.941164
122;161;Krajowa Spółka Cukrowa SA GK, Toruń;1081;2889469;375345;Toruń, PL;53.021067 18.618612;PL,PL;53.016559;18.608473
123;154;Stalmag sp. z o.o., Ruda Śląska;4672;2846254;9506;Ruda Śląska, PL;50.273242 18.859407;Śląska,;50.272157;18.852704
124;122;Oktan Energy V L Service sp. z o.o., Szczecin;4671;2845515;19337;Szczecin, PL;50.276037 9.90885;PL,PL;50.278664;9.904648
125;110;Onico SA GK, Warszawa;4671;2812487;25691;Warszawa, PL;52.231924 21.006727;PL,PL;52.232245;21.059558
126;125;E. Leclerc Polska, Warszawa;4719;2800000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.197245;21.061173
127;140;Lear Corporation Poland II sp. z o.o., Tychy;2932;2776869;151079;Tychy, PL;50.124731 18.986993;PL,PL;50.119744;18.988378
128;115;ABB sp. z o.o., Warszawa;2711;2764255;-25763;Warszawa, PL;52.231924 21.006727;PL,PL;52.268033;21.002210
129;117;Polenergia SA, Warszawa;3511;2762378;-87702;Warszawa, PL;52.231924 21.006727;PL,PL;52.197163;21.034690
130;103;PKP Energetyka SA, Warszawa;3513;2760174;168418;Warszawa, PL;52.231924 21.006727;PL,PL;52.256392;21.003210
131;133;Ford Polska sp. z o.o., Warszawa;4511;2759461;7124;Warszawa, PL;52.231924 21.006727;PL,PL;52.169450;21.026326
132;132;Grupa TZMO SA, Toruń;4649;2677150;330496;Toruń, PL;53.021067 18.618612;PL,PL;53.029586;18.625696
133;164;Celsa Huta Ostrowiec sp. z o.o., Ostrowiec Św.;2410;2674906;121932;Ostrowiec Św., PL;39.78373 -100.445882;Św.,;39.787914;-100.438255
134;173;Itaka Holdings sp. z o.o. GK, Opole;7912;2671568;20888;Opole, PL;50.666818 17.923641;PL,PL;50.668484;17.925490
135;135;PKP InterCity SA, Warszawa;4910;2667053;307874;Warszawa, PL;52.231924 21.006727;PL,PL;52.185584;21.023159
136;137;Amica Wronki SA GK, Wronki;2751;2654434;151135;Wronki, PL;52.710123 16.374227;PL,PL;52.706250;16.373091
137;153;Grupa Kęty SA GK, Kęty;2442;2642613;236629;Kęty, PL;49.881772 19.230204;PL,PL;49.884721;19.232942
138;159;AHC Krotoski-Cichy sp.j. GK, Wysogotowo;4511;2640157;36081;Wysogotowo, PL;52.41152 16.782031;PL,PL;52.412852;16.782149
139;165;Thyssenkrupp Materials Poland SA, Toruń;4690;2607751;71215;Toruń, PL;53.021067 18.618612;PL,PL;53.012589;18.618565
140;148;Hutchinson Poland sp. z o.o., Żywiec;2219;2603936;273874;Żywiec, PL;49.689034 19.20305;PL,PL;49.686717;19.198848
141;142;Grupa Azoty Zakłady Chemiczne Police SA GK;2015;2599577;88508;Police, PL;53.548644 14.56574;PL,PL;53.547319;14.568287
142;129;Aptiv Services Poland SA, Kraków;2931;2588943;104760;Kraków, PL;50.064529 19.983206;PL,PL;50.065599;19.992829
143;138;Emperia Holding SA GK, Warszawa;4711;2576454;34863;Warszawa, PL;52.231924 21.006727;PL,PL;52.268691;21.062908
144;172;CMC Poland sp. z o.o. GK, Zawiercie;2410;2566561;b.d.;Zawiercie, PL;50.484438 19.433394;PL,PL;50.486366;19.429292
145;147;Zakłady Tłuszczowe Kruszwica SA GK;1041;2547505;41276;Kruszwica, PL;52.67438 18.325477;PL,PL;52.674864;18.323440
146;150;Stokrotka sp. z o.o., Lublin;4711;2533524;19964;Lublin, PL;51.231292 22.568964;PL,PL;51.232463;22.581648
147;160;Opel Poland sp. z o.o., Warszawa;4511;2469859;9202;Warszawa, PL;52.231924 21.006727;PL,PL;52.250877;21.059919
148;86;Flextronics International Poland sp. z o.o., Tczew;2630;2458927;-56263;Tczew, PL;54.086953 18.800029;PL,PL;54.092383;18.807052
149;144;Grupa Polomarket sp. z o.o., Pakość;4639;2456628;b.d.;Pakość, PL;52.807332 18.089961;PL,PL;52.808733;18.089630
150;127;Zespół Elektrowni PAK SA GK, Konin;3511;2443075;183544;Konin, PL;49.274072 13.42031;PL,PL;49.271614;13.419878
151;128;Polimex-Mostostal SA GK, Warszawa;7010;2421078;-137044;Warszawa, PL;52.231924 21.006727;PL,PL;52.237244;21.027945
152;143;PINI Polonia sp. z o.o., Kutno;1011;2416315;12333;Kutno, PL;52.231756 19.357018;PL,PL;52.237255;19.356705
153;156;Anwil SA, Włocławek;2016;2412544;325450;Włocławek, PL;52.651059 19.064102;PL,PL;52.644886;19.060353
154;139;International Paper-Kwidzyn sp. z o.o., Kwidzyn;1712;2400743;448894;Kwidzyn, PL;53.733584 18.931922;PL,PL;53.729443;18.932179
155;145;Bayer sp. z o.o., Warszawa;4646;2392936;100427;Warszawa, PL;52.231924 21.006727;PL,PL;52.275414;21.013509
156;155;Superhobby Market Bud. sp. z o.o., Warszawa;4759;2382423;112070;Warszawa, PL;52.231924 21.006727;PL,PL;52.250016;20.951370
157;163;Reckitt Benckiser Production, Nowy Dwór Mazowiecki;2041;2373239;117563;Nowy Dwór Mazowiecki, PL;52.430651 20.715471;Dwór;52.433319;20.714396
158;167;Grupa PSB Handel SA, Wełecz;4673;2339193;19942;Wełecz, PL;50.47123 20.66653;PL,PL;50.474073;20.667662
159;175;Jysk sp. z o.o., Gdańsk;4759;2298179;106873;Gdańsk, PL;54.347628 18.645203;PL,PL;54.347301;18.638585
160;141;Toyota Motor Manuf. Poland sp. z o.o., Wałbrzych;2910;2293881;-1149;Wałbrzych, PL;50.765905 16.282542;PL,PL;50.765101;16.289071
161;151;PT Dystrybucja SA, Radom;4635;2291504;-683;Radom, PL;51.40107 21.153411;PL,PL;51.396881;21.152494
162;162;Grupa Raben sp. z o.o., Robakowo;6820;2282417;b.d.;Robakowo, PL;52.309897 17.07716;PL,PL;52.310100;17.076459
163;152;Wipasz SA, Wadąg;1091;2266684;65356;Wadąg, PL;53.818077 20.489808;PL,PL;53.819663;20.491968
164;130;Avon Operations Polska sp. z o.o., Garwolin;2042;2251980;191776;Garwolin, PL;51.897556 21.614949;PL,PL;51.893287;21.614805
165;124;Grupa Innogy Polska SA, Warszawa;3513;2249134;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.202448;21.028765
166;149;Grupa Żywiec SA, Żywiec;1105;2245740;261718;Żywiec, PL;49.689034 19.20305;PL,PL;49.691160;19.200605
167;187;Holding 1 SA sp.k., Kraków;7010;2223216;b.d.;Kraków, PL;50.064529 19.983206;PL,PL;50.089296;19.984110
168;170;Grupa Impel SA, Wrocław;8020;2214538;13714;Wrocław, PL;51.108978 17.032669;PL,PL;51.110715;17.048531
169;208;Robert Bosch sp. z o.o., Warszawa;4690;2205854;59889;Warszawa, PL;52.231924 21.006727;PL,PL;52.282955;20.962948
170;193;BASF sp. z o.o., Warszawa;4690;2140088;69523;Warszawa, PL;52.231924 21.006727;PL,PL;52.205338;21.046943
171;136;Work Service SA GK, Wrocław;7820;2132797;-33229;Wrocław, PL;51.108978 17.032669;PL,PL;51.108341;17.029498
172;179;ZF Polpharma SA, Starogard Gdański;2120;2123308;b.d.;Starogard Gdański, PL;53.967181 18.532113;Gdański,;53.965621;18.528876
173;171;Swiss Krono sp. z o.o., Żary;1621;2105666;216891;Żary, PL;51.638516 15.142249;PL,PL;51.637050;15.145358
174;402;Hermes Energy Group SA, Warszawa;3523;2091578;31894;Warszawa, PL;52.231924 21.006727;PL,PL;52.235918;20.945017
175;166;IBM Polska sp. z o.o., Warszawa;6201;2077009;62968;Warszawa, PL;52.231924 21.006727;PL,PL;52.244677;20.977244
176;177;Autoliv Poland sp. z o.o., Oława;1399;2074066;52895;Oława, PL;50.942821 17.295528;PL,PL;50.940100;17.292939
177;178;Coca-Cola HBC Polska sp. z o.o., Warszawa;5190;2066250;109365;Warszawa, PL;52.231924 21.006727;PL,PL;52.210553;21.005842
178;183;Grupa Sanofi-Aventis sp. z o.o., Warszawa;2120;2038730;169983;Warszawa, PL;52.231924 21.006727;PL,PL;52.237667;21.073492
179;199;ZGH Bolesław SA GK, Bukowno;2743;2033412;265939;Bukowno, PL;50.269778 19.463813;PL,PL;50.266696;19.460717
180;168;Distribev Orbico sp. z o.o., Warszawa;4634;2033373;44;Warszawa, PL;52.231924 21.006727;PL,PL;52.239895;21.069636
181;186;Fortum GK, Wrocław;3530;2024981;b.d.;Wrocław, PL;51.108978 17.032669;PL,PL;51.097142;17.016468
182;176;Neonet SA, Wrocław;4743;2015133;12492;Wrocław, PL;51.108978 17.032669;PL,PL;51.102778;17.010361
183;252;ZPR SA, Warszawa;9002;1979109;34262;Warszawa, PL;52.231924 21.006727;PL,PL;52.214513;20.997095
184;184;KGHM Metraco SA, Legnica;4677;1947129;27768;Legnica, PL;51.208209 16.160228;PL,PL;51.208273;16.154765
185;181;OGP Gaz-System SA, Warszawa;4950;1938249;392197;Warszawa, PL;52.231924 21.006727;PL,PL;52.270466;21.002280
186;212;Man Truck & Bus sp. z o.o., Nadarzyn;4519;1919902;54369;Nadarzyn, PL;52.094722 20.8075;PL,PL;52.092746;20.804353
187;195;Grupa Velux, Gniezno;1623;1917273;b.d.;Gniezno, PL;52.535974 17.595889;PL,PL;52.530900;17.593119
188;204;Grupa Solid GK, Warszawa;8020;1913583;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.245123;20.961695
189;189;Brenntag Polska sp. z o.o. GK, Kędzierzyn-Koźle;4675;1910083;67543;Kędzierzyn-Koźle, PL;50.342506 18.203659;PL,PL;50.347129;18.201560
190;185;H&M Hennes & Mauritz sp. z o.o., Warszawa;4771;1900000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.172378;20.989964
191;197;Pilkington (NSG Group w Polsce), Sandomierz;2311;1894226;49830;Sandomierz, PL;50.679307 21.749506;PL,PL;50.681784;21.748710
192;207;TVN SA GK, Warszawa;6020;1890000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.297011;20.988609
193;180;Komputronik SA GK, Poznań;4741;1886189;-19986;Poznań, PL;52.440615 16.91905;PL,PL;52.431730;16.913988
194;157;Faurecia Wałbrzych SA, Wałbrzych;2932;1877647;20465;Wałbrzych, PL;50.765905 16.282542;PL,PL;50.759166;16.283454
195;192;Carlsberg Polska sp. o.o., Warszawa;4634;1873618;38824;Warszawa, PL;52.231924 21.006727;PL,PL;52.195466;20.969058
196;174;PBG SA GK, Przeźmierowo;4221;1869093;-91133;Przeźmierowo, PL;52.426066 16.787375;PL,PL;52.426792;16.784835
197;198;Scania Polska SA, Nadarzyn;4519;1860079;97654;Nadarzyn, PL;52.094722 20.8075;PL,PL;52.093563;20.805630
