country;units;beds.ths;nights.mln
Belgium;8570;374;38.7;
Bulgaria;3346;349;26.1;
Czechia;9007;716;53.2;
Denmark;1167;424;32.2;
Germany;50032;3378;401.2;
Estonia;1500;62;6.5;
Ireland;3145;200;33.9;
Greece;35719;e;1273;e;111.3;
Spain;50518;3559;471.2;
France;29835;5114;433.1;
Croatia;98341;1060;86.1;
Italy;204903;5038;420.6;
Cyprus;796;86;16.8;
Latvia;1131;53;5.0;
Lithuania;2971;81;7.4;
Luxembourg;425;64;2.9;
Hungary;4457;419;31.6;
Malta;203;45;9.6;
Netherlands;8956;1378;111.7;
Austria;20885;1013;121.1;
Poland;10681;774;83.9;
Portugal;5100;620;72.0;
Romania;7762;339;26.9;
Slovenia;3699;117;12.5;
Slovakia;2772;186;14.7;
Finland;1383;259;21.9;
Sweden;4222;806;58.7;
UK;84580;3944;428.2;
Iceland;1103;45;8.8;
Liechtenstein;87;2;0.2;
Norway;2423;568;33.3;
Switzerland;41319;681;53.3;
