teryt;nazwa;szkoly;absolwenci
1219;wielicki;0;0
3031;złotowski;0;0
3218;łobeski;0;0
3207;kamieński;0;0
1432;warszawski zachodni;0;0
1214;proszowicki;0;0
0602;biłgorajski;0;0
2604;kielecki;0;0
3202;choszczeński;0;0
0415;toruński;0;0
1809;lubaczowski;0;0
1015;skierniewicki;0;0
3213;sławieński;0;0
2011;sokólski;0;0
1422;przasnyski;0;0
0418;włocławski;0;0
2409;myszkowski;0;0
1007;opoczyński;0;0
2478;m.Zabrze;0;0
1018;wieruszowski;0;0
0613;parczewski;0;0
2404;częstochowski;0;0
3021;poznański;0;0
0615;radzyński;0;0
0206;jeleniogórski;0;0
3014;międzychodzki;0;0
1420;płoński;0;57
0402;brodnicki;0;43
1427;sierpecki;0;0
3215;szczecinecki;0;60
2606;opatowski;0;0
1412;miński;0;22
3029;wolsztyński;0;0
1605;krapkowicki;0;0
2014;zambrowski;0;0
2803;działdowski;0;0
1216;tarnowski;0;0
2805;ełcki;0;131
1408;legionowski;0;0
2468;m.Jaworzno;0;0
1410;łosicki;0;0
1603;kędzierzyńsko-kozielski;0;0
3024;szamotulski;0;0
1806;kolbuszowski;0;0
2401;będziński;0;0
3011;kościański;0;0
1003;łaski;0;0
0608;lubartowski;0;0
0617;świdnicki(lubelskie);0;0
0224;ząbkowicki;0;0
0211;lubiński;0;152
0403;bydgoski;0;0
0610;łęczyński;0;0
1821;leski;0;0
3210;myśliborski;0;0
1209;myślenicki;0;0
1425;radomski;0;0
3208;kołobrzeski;0;47
1423;przysuski;0;0
0612;opolski(lubelskie);0;0
2006;kolneński;0;0
1204;dąbrowski;0;0
0405;golubsko-dobrzyński;0;0
3212;pyrzycki;0;0
1819;strzyżowski;0;0
1005;łowicki;0;0
2818;gołdapski;0;0
2807;iławski;0;89
1415;ostrołęcki;0;0
2212;słupski;0;0
0809;zielonogórski;0;24
0221;wałbrzyski;0;0
1811;mielecki;0;65
2416;zawierciański;0;0
0620;zamojski;0;0
3006;jarociński;0;0
0214;oleśnicki;0;0
1602;głubczycki;0;0
2611;starachowicki;0;0
2210;nowodworski(pomorskie);0;0
0219;świdnicki(śląskie);0;89
2802;braniewski;0;0
2208;lęborski;0;0
0804;nowosolski;0;0
1413;mławski;0;0
1201;bocheński;0;0
2462;m.Bytom;0;23
2205;kartuski;0;0
1020;zgierski;0;0
1206;krakowski;0;0
2813;olecki;0;0
2004;grajewski;0;0
2467;m.Jastrzębie-Zdrój;0;0
1418;piaseczyński;0;0
1407;kozienicki;0;0
2815;ostródzki;0;0
2009;sejneński;0;0
1816;rzeszowski;0;0
2203;człuchowski;0;0
0226;złotoryjski;0;0
3001;chodzieski;0;0
0806;strzelecko-drezdenecki;0;0
3203;drawski;0;0
2001;augustowski;0;0
3009;kolski;0;0
1433;węgrowski;0;0
0417;wąbrzeski;0;0
1010;piotrkowski;0;0
2470;m.Mysłowice;0;79
0408;lipnowski;0;0
0603;chełmski;0;0
1008;pabianicki;0;0
0410;nakielski;0;0
1017;wieluński;0;0
2477;m.Tychy;0;64
0605;janowski;0;0
2414;tyski;0;0
3004;gostyński;0;0
1435;wyszkowski;0;72
1012;radomszczański;0;0
3205;gryficki;0;1
0412;rypiński;0;0
1812;niżański;0;20
0222;wołowski;0;0
1218;wadowicki;0;0
1207;limanowski;0;12
2403;cieszyński;0;178
2211;pucki;0;0
0619;włodawski;0;0
2610;skarżyski;0;0
3013;leszczyński;0;0
1810;łańcucki;0;0
3015;nowotomyski;0;85
0220;trzebnicki;0;0
1808;leżajski;0;0
2405;gliwicki;0;0
1202;brzeski(małopolskie);0;0
0614;puławski;0;48
3214;stargardzki;0;78
2612;staszowski;0;0
2801;bartoszycki;0;32
1406;grójecki;0;0
1016;tomaszowski(mazowieckie);0;231
2476;m.Świętochłowice;0;0
2214;tczewski;0;0
2809;lidzbarski;0;0
0807;sulęciński;0;0
1604;kluczborski;0;0
0212;lwówecki;0;0
1609;opolski(śląskie);0;0
3211;policki;0;0
2013;wysokomazowiecki;0;0
2804;elbląski;0;0
0802;krośnieński(lubuskie);0;0
0217;strzeliński;0;0
0611;łukowski;0;0
1820;tarnobrzeski;0;0
0210;lubański;0;0
3216;świdwiński;0;0
1404;gostyniński;0;0
0205;jaworski;0;0
1062;m.Piotrków Trybunalski;0;401
3028;wągrowiecki;0;53
2002;białostocki;0;0
2471;m.Piekary Śląskie;0;0
1011;poddębicki;0;0
0411;radziejowski;0;0
2007;łomżyński;0;0
1409;lipski;0;0
3007;kaliski;0;0
3018;ostrzeszowski;0;0
2603;kazimierski;0;0
2410;pszczyński;0;0
0419;żniński;0;0
2408;mikołowski;0;0
2479;m.Żory;0;97
1019;zduńskowolski;0;74
1401;białobrzeski;0;0
2806;giżycki;0;0
2412;rybnicki;0;0
3002;czarnkowsko-trzcianecki;0;16
1606;namysłowski;0;0
2216;sztumski;0;0
1803;dębicki;0;0
1014;sieradzki;0;29
2474;m.Siemianowice Śląskie;0;0
2605;konecki;0;0
1021;brzeziński;0;0
2607;ostrowiecki;1;524
1424;pułtuski;1;432
3061;m.Kalisz;1;1074
1421;pruszkowski;1;111
2010;siemiatycki;1;28
2202;chojnicki;1;205
2817;szczycieński;1;1103
2207;kwidzyński;1;266
2463;m.Chorzów;1;1703
1211;nowotarski;1;725
1804;jarosławski;1;1007
0811;żarski;1;109
0407;inowrocławski;1;221
1002;kutnowski;1;337
2215;wejherowski;1;54
2213;starogardzki;1;43
1814;przeworski;1;39
2063;m.Suwałki;1;474
1438;żyrardowski;1;0
0661;m.Biała Podlaska;1;1333
3217;wałecki;1;102
0801;gorzowski;1;25
1607;nyski;1;628
2411;raciborski;1;381
0216;polkowicki;1;152
2472;m.Ruda Śląska;1;16
1428;sochaczewski;1;55
1601;brzeski(opolskie);1;125
2608;pińczowski;1;57
1817;sanocki;1;321
1861;m.Krosno;1;572
3023;słupecki;1;0
0416;tucholski;1;131
0261;m.Jelenia Góra;1;589
1864;m.Tarnobrzeg;1;356
0208;kłodzki;1;144
3025;średzki(wielkopolskie);1;309
0203;głogowski;1;158
1805;jasielski;1;128
2417;żywiecki;1;104
1213;oświęcimski;1;341
1215;suski;1;152
0414;świecki;1;36
0861;m.Gorzów Wielkopolski;2;981
1063;m.Skierniewice;2;427
3003;gnieźnieński;2;385
1434;wołomiński;2;4
1818;stalowowolski;2;335
2263;m.Słupsk;2;924
2465;m.Dąbrowa Górnicza;2;1626
1405;grodziski(mazowieckie);2;269
2861;m.Elbląg;2;856
2609;sandomierski;2;86
0862;m.Zielona Góra;2;2805
3019;pilski;2;521
1464;m.Siedlce;2;2319
0265;m.Wałbrzych;2;754
1417;otwocki;2;676
1461;m.Ostrołęka;2;115
2264;m.Sopot;2;356
0262;m.Legnica;2;863
3063;m.Leszno;2;673
1402;ciechanowski;2;556
0464;m.Włocławek;2;651
2466;m.Gliwice;2;7963
0662;m.Chełm;2;599
0462;m.Grudziądz;2;33
0616;rycki;2;582
1462;m.Płock;3;2105
1262;m.Nowy Sącz;3;1465
2475;m.Sosnowiec;3;801
3062;m.Konin;3;734
3261;m.Koszalin;3;2126
0664;m.Zamość;3;440
1862;m.Przemyśl;3;275
1263;m.Tarnów;3;1672
0463;m.Toruń;4;7442
2862;m.Olsztyn;4;7364
1661;m.Opole;4;6962
2062;m.Łomża;4;1085
2262;m.Gdynia;5;3099
1863;m.Rzeszów;6;13562
2464;m.Częstochowa;6;5065
1463;m.Radom;7;2714
2461;m.Bielsko-Biała;7;2351
0461;m.Bydgoszcz;8;8528
2661;m.Kielce;8;7975
0663;m.Lublin;9;18203
2061;m.Białystok;10;8359
2469;m.Katowice;11;17567
3262;m.Szczecin;12;9443
2261;m.Gdańsk;13;21187
1261;m.Kraków;21;49142
1061;m.Łódź;22;19281
3064;m.Poznań;24;32531
0264;m.Wrocław;25;31895
1465;m.Warszawa;70;60809
