Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;coord;NEIGHBORHOOD;teryt;nazwa
14;9;FCA Poland SA, Bielsko-Biała;2910;14382606;310743;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
15;18;Volkswagen Group Polska sp. z o.o., Poznań;4511;13154494;115205;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
16;15;Enea SA GK, Poznań;3511;11661269;1164891;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
17;20;PSH Lewiatan GK, Włocławek;7740;11500000;b.d.;Włocławek, PL;52.651059 19.064102;PL,PL;0418;włocławski
18;14;Orange Polska SA GK, Warszawa;6110;11381000;-60000;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
19;17;BP Europa SE, Kraków;4671;11009763;399874;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
20;19;Tesco (Polska) sp. z o.o., Kraków;4729;10600000;b.d.;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
21;22;Energa SA GK, Gdańsk;3514;10533915;789313;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
22;24;Auchan Polska sp. z o.o., Piaseczno;4711;10212000;113934;Piaseczno, PL;53.58206 16.13332;PL,PL;3203;drawski
23;23;Kaufland Polska Markety sp. z o.o. sp.k., Wrocław;4711;10079118;204499;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
24;25;Cyfrowy Polsat SA GK, Warszawa;6020;9828600;945200;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
25;28;PGL Lasy Państwowe, Warszawa;210;9716277;432455;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
26;27;PPHU Specjał sp. z o.o. GK, Warszawa;4639;9654764;13257;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
27;29;Grupa Azoty SA GK, Tarnów;2015;9617495;488826;Tarnów, PL;50.012378 20.988074;PL,PL;1263;m.Tarnów
28;26;Pelion SA GK, Łódź;4646;9436392;74431;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
29;30;Polskie Sieci Elektroenergetyczne SA, Konstancin;3512;8886789;530952;Konstancin, PL;52.094186 19.348618;PL,PL;1004;łęczycki
30;39;Jastrzębska Sp. Węglowa SA GK, Jastrzębie-Zdrój;510;8877200;2543300;Jastrzębie-Zdrój, PL;49.951909 18.602361;PL,PL;2467;m.Jastrzębie-Zdrój
31;32;Grupa PKP SA, Warszawa;7010;8501384;652934;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
33;51;LG Electronics Mława sp. z o.o., Mława;2640;8432249;26977;Mława, PL;53.111509 20.382012;PL,PL;1413;mławski
34;87;Polska Grupa Górnicza SA GK, Katowice;510;8238086;91677;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
35;21;Opel Manufacturing Poland sp. z o.o., Gliwice;2910;8131955;207005;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
36;33;Asseco Poland SA GK, Rzeszów;6201;7830500;600100;Rzeszów, PL;50.037453 22.004717;PL,PL;1863;m.Rzeszów
37;36;Rossmann SD Polska sp. z o.o., Łódź;4775;7706003;859078;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
38;34;Carrefour Polska sp. z o.o., Warszawa;4711;7583528;2026;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
39;35;Neuca SA GK, Toruń;4646;7485234;94060;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
40;43;Żabka Polska sp. z o.o., Poznań;7010;7200000;b.d.;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
41;67;Synthos SA GK, Oświęcim;2416;7152963;b.d.;Oświęcim, PL;50.038088 19.226107;PL,PL;2414;tyski
42;42;Grupa Muszkieterów, Tarnowo Podgórne;4719;7100000;b.d.;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;3024;szamotulski
43;48;LPP SA GK, Gdańsk;4771;7029425;440851;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
44;38;Polkomtel sp. z o.o., Warszawa;6110;6983600;384500;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
46;50;Inter Cars SA GK, Warszawa;4531;6908365;216428;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
47;49;Shell Polska sp. z o.o, Warszawa;4730;6754380;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
48;37;Makro Cash and Carry SA, Warszawa;4634;6670844;-378;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
49;47;P4 sp. z o.o., Warszawa;6120;6669859;971832;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
50;45;Samsung Electronics Polska sp. z o.o., Warszawa;4690;6501442;140360;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
51;46;Castorama Polska sp. z o.o., Warszawa;4754;6500000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
52;40;T-Mobile Polska SA, Warszawa;6120;6394165;37227;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
53;58;Budimex SA GK, Warszawa;4211;6369308;464594;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
54;44;Volkswagen Motor Polska sp. z o.o., Polkowice;2910;6337657;178270;Polkowice, PL;51.503929 16.071337;PL,PL;0211;lubiński
55;52;Poczta Polska SA GK, Warszawa;5310;6335410;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
56;;Mercedes-Benz Polska sp. z o.o., Warszawa;4511;6327935;106376;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
57;55;Boryszew SA GK, Sochaczew;2059;6290336;203894;Sochaczew, PL;52.22697 20.242225;PL,PL;1428;sochaczewski
58;54;Grupa Can-Pack SA, Kraków;2592;6169072;511429;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
59;53;Farmacol SA GK, Katowice;4646;5842012;75240;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
61;57;PKP Polskie Linie Kolejowe SA, Warszawa;5221;5717648;15136;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
62;62;Animex Foods sp. z o.o. sp.k., Warszawa;4632;5695000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
63;59;Grupa Valeo w Polsce, Skawina;2932;5507805;353510;Skawina, PL;49.974751 19.82657;PL,PL;1206;krakowski
66;60;Polska Grupa Farmaceutyczna SA GK, Łódź;4646;5255375;22543;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
67;64;Imperial Tobacco Polska SA, Tarnowo Podgórne;1200;5183246;96501;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;3024;szamotulski
68;68;Polska Spółka Gazownictwa sp. z o.o., Warszawa;3522;5140942;1233610;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
69;65;Michelin Polska SA, Olsztyn;2211;4987549;331140;Olsztyn, PL;53.775411 20.481225;PL,PL;2862;m.Olsztyn
70;61;Polska Grupa Zbrojeniowa SA GK, Radom;6420;4900000;b.d.;Radom, PL;51.40107 21.153411;PL,PL;1463;m.Radom
71;91;Polskie Linie Lotnicze LOT SA, Warszawa;5110;4797927;354166;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
72;72;Cargill Poland sp. z o.o., Warszawa;1062;4769200;150275;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
73;80;Leroy Merlin Polska sp. z o.o., Warszawa;4752;4732550;161740;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
74;83;Toyota Motor Poland Comp. sp. z o.o., Warszawa;4511;4715220;607;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
75;76;Grupa Saint-Gobain w Polsce, Warszawa;2312;4700000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
76;75;PKP Cargo SA GK, Warszawa;4920;4692653;81673;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
77;70;Totalizator Sportowy sp. z o.o. GK, Warszawa;9200;4667118;302484;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
78;63;ABC Data SA GK, Warszawa;4651;4635294;25412;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
79;74;IKEA Industry Poland sp. z o.o., Goleniów;3109;4599254;139939;Goleniów, PL;53.56636 14.830621;PL,PL;3204;goleniowski
80;82;GlaxoSmithKline Pharmaceuticals SA, Poznań;2120;4528503;75456;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
81;99;Dino Polska SA GK, Krotoszyn;4711;4515933;213604;Krotoszyn, PL;51.695926 17.437416;PL,PL;3012;krotoszyński
82;69;Electrolux Poland sp. z o.o., Warszawa;2751;4491499;73979;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
83;71;Unilever Polska SA GK, Warszawa;4638;4472981;92980;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
84;81;Grupa Mlekovita, Wysokie Mazowieckie;1051;4439635;95129;Wysokie Mazowieckie, PL;52.915499 22.51312;Mazowieckie,;2013;wysokomazowiecki
85;77;Grupa Maspex, Wadowice;5170;4425331;b.d.;Wadowice, PL;49.883448 19.492535;PL,PL;1213;oświęcimski
86;78;Circle K Polska sp. z o.o., Warszawa;4730;4395228;46319;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
87;;Media Markt Saturn w Polsce, Warszawa;7022;4300000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
88;108;CCC SA GK, Polkowice;4772;4194000;302300;Polkowice, PL;51.503929 16.071337;PL,PL;0211;lubiński
89;85;Pfleiderer Group SA GK, Wrocław;2024;4187509;71314;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
90;84;Kompania Piwowarska SA, Poznań;1105;4154908;b.d.;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
91;73;Glencore Polska sp. z o.o., Gdańsk;4676;4030724;5968;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
92;105;Spółdzielnia Mleczarska Mlekpol, Grajewo;1051;4020085;b.d.;Grajewo, PL;53.647567 22.455389;PL,PL;2008;moniecki
93;90;Man Trucks sp. z o.o., Niepołomice;2910;3993367;42250;Niepołomice, PL;50.033182 20.216801;PL,PL;1206;krakowski
94;88;Grupa Skanska SA, Warszawa;4120;3852400;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
95;95;Renault Polska sp. z o.o., Warszawa;4511;3815744;36952;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
96;93;TRW Polska sp. z o.o., Częstochowa;2932;3751240;82988;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
97;100;Grupa Sokołów SA, Sokołów Podlaski;1011;3667667;b.d.;Sokołów Podlaski, PL;52.40818 22.252493;Podlaski,;1429;sokołowski
98;104;Ikea Retail sp. z o.o., Raszyn;4759;3654781;-55488;Raszyn, PL;52.158333 20.924167;PL,PL;1465;m.Warszawa
99;94;Ciech SA GK, Warszawa;4675;3579393;393975;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
100;106;Grupa Basell Orlen Polyolefins sp. z o.o., Płock;4675;3525802;b.d.;Płock, PL;52.546452 19.700861;PL,PL;1462;m.Płock
101;98;Węglokoks SA GK, Katowice;4671;3510672;191371;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
103;102;Grupa Azoty Zakłady Azotowe Puławy SA GK;2015;3490902;258212;## Grupa Azoty Zakłady Azotowe Puławy SA GK, PL; ;;teryt;nazwa
104;89;Volvo Polska sp. z o.o., Wrocław;2910;3470785;30148;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
105;112;Tele-Fonika Kable SA, Myślenice;2611;3417909;39778;Myślenice, PL;49.834608 19.938428;PL,PL;1209;myślenicki
106;120;Impexmetal SA GK, Warszawa;2442;3353387;60857;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
107;92;FCA Powertrain Poland sp. z o.o., Bielsko-Biała;2910;3345168;182240;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
108;123;Cedrob SA, Ciechanów;1013;3322030;167121;Ciechanów, PL;52.881408 20.611076;PL,PL;1402;ciechanowski
109;97;Whirlpool Company Polska sp. z o.o., Warszawa;2751;3308529;-257407;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
110;107;Nestle Polska SA, Warszawa;1089;3305528;223469;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
111;101;Grupa Magneti Marelli w Polsce, Sosnowiec;2932;3267000;b.d.;Sosnowiec, PL;50.280692 19.13493;PL,PL;2401;będziński
112;114;Grupa Strabag sp. z o.o., Pruszków;4211;3257261;75883;Pruszków, PL;52.164353 20.801739;PL,PL;1421;pruszkowski
113;113;Netto sp. z o.o., Kobylanka;4729;3231739;72941;Kobylanka, PL;51.097773 20.717564;PL,PL;2610;skarżyski
114;121;Mondi Świecie SA, Świecie;1712;3186445;684004;Świecie, PL;53.407252 18.445525;PL,PL;0414;świecki
115;119;Samsung Electronics Poland Manufa., Wronki;2751;3160987;105770;Wronki, PL;52.710123 16.374227;PL,PL;3024;szamotulski
116;146;Arcelormittal Distribution Solutions, Katowice;4672;3131040;38413;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
118;131;Anwim SA, Warszawa;4671;3093918;10100;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
119;116;Transgourmet Polska sp. z o.o., Poznań;4690;3086003;57906;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
120;134;Unimot SA GK, Zawadzkie;4671;3005002;22440;Zawadzkie, PL;51.906389 17.899444;PL,PL;3020;pleszewski
121;118;Arctic Paper Kostrzyn SA GK, Poznań;6420;2952806;64991;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
122;161;Krajowa Spółka Cukrowa SA GK, Toruń;1081;2889469;375345;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
123;154;Stalmag sp. z o.o., Ruda Śląska;4672;2846254;9506;Ruda Śląska, PL;50.273242 18.859407;Śląska,;2478;m.Zabrze
125;110;Onico SA GK, Warszawa;4671;2812487;25691;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
126;125;E. Leclerc Polska, Warszawa;4719;2800000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
127;140;Lear Corporation Poland II sp. z o.o., Tychy;2932;2776869;151079;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
128;115;ABB sp. z o.o., Warszawa;2711;2764255;-25763;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
129;117;Polenergia SA, Warszawa;3511;2762378;-87702;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
130;103;PKP Energetyka SA, Warszawa;3513;2760174;168418;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
131;133;Ford Polska sp. z o.o., Warszawa;4511;2759461;7124;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
132;132;Grupa TZMO SA, Toruń;4649;2677150;330496;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
134;173;Itaka Holdings sp. z o.o. GK, Opole;7912;2671568;20888;Opole, PL;50.666818 17.923641;PL,PL;1661;m.Opole
135;135;PKP InterCity SA, Warszawa;4910;2667053;307874;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
136;137;Amica Wronki SA GK, Wronki;2751;2654434;151135;Wronki, PL;52.710123 16.374227;PL,PL;3024;szamotulski
137;153;Grupa Kęty SA GK, Kęty;2442;2642613;236629;Kęty, PL;49.881772 19.230204;PL,PL;2402;bielski(śląskie)
138;159;AHC Krotoski-Cichy sp.j. GK, Wysogotowo;4511;2640157;36081;Wysogotowo, PL;52.41152 16.782031;PL,PL;3064;m.Poznań
139;165;Thyssenkrupp Materials Poland SA, Toruń;4690;2607751;71215;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
140;148;Hutchinson Poland sp. z o.o., Żywiec;2219;2603936;273874;Żywiec, PL;49.689034 19.20305;PL,PL;2417;żywiecki
141;142;Grupa Azoty Zakłady Chemiczne Police SA GK;2015;2599577;88508;Police, PL;53.548644 14.56574;PL,PL;3204;goleniowski
142;129;Aptiv Services Poland SA, Kraków;2931;2588943;104760;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
143;138;Emperia Holding SA GK, Warszawa;4711;2576454;34863;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
144;172;CMC Poland sp. z o.o. GK, Zawiercie;2410;2566561;b.d.;Zawiercie, PL;50.484438 19.433394;PL,PL;2416;zawierciański
145;147;Zakłady Tłuszczowe Kruszwica SA GK;1041;2547505;41276;Kruszwica, PL;52.67438 18.325477;PL,PL;0407;inowrocławski
146;150;Stokrotka sp. z o.o., Lublin;4711;2533524;19964;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
147;160;Opel Poland sp. z o.o., Warszawa;4511;2469859;9202;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
148;86;Flextronics International Poland sp. z o.o., Tczew;2630;2458927;-56263;Tczew, PL;54.086953 18.800029;PL,PL;2214;tczewski
149;144;Grupa Polomarket sp. z o.o., Pakość;4639;2456628;b.d.;Pakość, PL;52.807332 18.089961;PL,PL;0407;inowrocławski
151;128;Polimex-Mostostal SA GK, Warszawa;7010;2421078;-137044;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
152;143;PINI Polonia sp. z o.o., Kutno;1011;2416315;12333;Kutno, PL;52.231756 19.357018;PL,PL;1002;kutnowski
153;156;Anwil SA, Włocławek;2016;2412544;325450;Włocławek, PL;52.651059 19.064102;PL,PL;0418;włocławski
154;139;International Paper-Kwidzyn sp. z o.o., Kwidzyn;1712;2400743;448894;Kwidzyn, PL;53.733584 18.931922;PL,PL;2207;kwidzyński
155;145;Bayer sp. z o.o., Warszawa;4646;2392936;100427;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
156;155;Superhobby Market Bud. sp. z o.o., Warszawa;4759;2382423;112070;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
157;163;Reckitt Benckiser Production, Nowy Dwór Mazowiecki;2041;2373239;117563;Nowy Dwór Mazowiecki, PL;52.430651 20.715471;Dwór;1420;płoński
158;167;Grupa PSB Handel SA, Wełecz;4673;2339193;19942;Wełecz, PL;50.47123 20.66653;PL,PL;2608;pińczowski
159;175;Jysk sp. z o.o., Gdańsk;4759;2298179;106873;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
160;141;Toyota Motor Manuf. Poland sp. z o.o., Wałbrzych;2910;2293881;-1149;Wałbrzych, PL;50.765905 16.282542;PL,PL;0219;świdnicki(śląskie)
161;151;PT Dystrybucja SA, Radom;4635;2291504;-683;Radom, PL;51.40107 21.153411;PL,PL;1463;m.Radom
163;152;Wipasz SA, Wadąg;1091;2266684;65356;Wadąg, PL;53.818077 20.489808;PL,PL;2862;m.Olsztyn
164;130;Avon Operations Polska sp. z o.o., Garwolin;2042;2251980;191776;Garwolin, PL;51.897556 21.614949;PL,PL;1403;garwoliński
165;124;Grupa Innogy Polska SA, Warszawa;3513;2249134;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
166;149;Grupa Żywiec SA, Żywiec;1105;2245740;261718;Żywiec, PL;49.689034 19.20305;PL,PL;2417;żywiecki
167;187;Holding 1 SA sp.k., Kraków;7010;2223216;b.d.;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
168;170;Grupa Impel SA, Wrocław;8020;2214538;13714;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
169;208;Robert Bosch sp. z o.o., Warszawa;4690;2205854;59889;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
170;193;BASF sp. z o.o., Warszawa;4690;2140088;69523;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
171;136;Work Service SA GK, Wrocław;7820;2132797;-33229;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
172;179;ZF Polpharma SA, Starogard Gdański;2120;2123308;b.d.;Starogard Gdański, PL;53.967181 18.532113;Gdański,;2213;starogardzki
173;171;Swiss Krono sp. z o.o., Żary;1621;2105666;216891;Żary, PL;51.638516 15.142249;PL,PL;0810;żagański
174;402;Hermes Energy Group SA, Warszawa;3523;2091578;31894;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
175;166;IBM Polska sp. z o.o., Warszawa;6201;2077009;62968;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
176;177;Autoliv Poland sp. z o.o., Oława;1399;2074066;52895;Oława, PL;50.942821 17.295528;PL,PL;1601;brzeski(opolskie)
177;178;Coca-Cola HBC Polska sp. z o.o., Warszawa;5190;2066250;109365;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
178;183;Grupa Sanofi-Aventis sp. z o.o., Warszawa;2120;2038730;169983;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
179;199;ZGH Bolesław SA GK, Bukowno;2743;2033412;265939;Bukowno, PL;50.269778 19.463813;PL,PL;1212;olkuski
180;168;Distribev Orbico sp. z o.o., Warszawa;4634;2033373;44;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
181;186;Fortum GK, Wrocław;3530;2024981;b.d.;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
182;176;Neonet SA, Wrocław;4743;2015133;12492;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
183;252;ZPR SA, Warszawa;9002;1979109;34262;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
184;184;KGHM Metraco SA, Legnica;4677;1947129;27768;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
185;181;OGP Gaz-System SA, Warszawa;4950;1938249;392197;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
186;212;Man Truck & Bus sp. z o.o., Nadarzyn;4519;1919902;54369;Nadarzyn, PL;52.094722 20.8075;PL,PL;1421;pruszkowski
187;195;Grupa Velux, Gniezno;1623;1917273;b.d.;Gniezno, PL;52.535974 17.595889;PL,PL;3003;gnieźnieński
188;204;Grupa Solid GK, Warszawa;8020;1913583;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
189;189;Brenntag Polska sp. z o.o. GK, Kędzierzyn-Koźle;4675;1910083;67543;Kędzierzyn-Koźle, PL;50.342506 18.203659;PL,PL;1603;kędzierzyńsko-kozielski
190;185;H&M Hennes & Mauritz sp. z o.o., Warszawa;4771;1900000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
191;197;Pilkington (NSG Group w Polsce), Sandomierz;2311;1894226;49830;Sandomierz, PL;50.679307 21.749506;PL,PL;2609;sandomierski
192;207;TVN SA GK, Warszawa;6020;1890000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
193;180;Komputronik SA GK, Poznań;4741;1886189;-19986;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
194;157;Faurecia Wałbrzych SA, Wałbrzych;2932;1877647;20465;Wałbrzych, PL;50.765905 16.282542;PL,PL;0219;świdnicki(śląskie)
195;192;Carlsberg Polska sp. o.o., Warszawa;4634;1873618;38824;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
196;174;PBG SA GK, Przeźmierowo;4221;1869093;-91133;Przeźmierowo, PL;52.426066 16.787375;PL,PL;3064;m.Poznań
197;198;Scania Polska SA, Nadarzyn;4519;1860079;97654;Nadarzyn, PL;52.094722 20.8075;PL,PL;1421;pruszkowski
198;232;Cargotec Poland sp. z o.o., Stargard;2822;1857595;74008;Stargard, PL;53.337994 15.035049;PL,PL;3214;stargardzki
199;205;Grupa Azoty Zakłady Azotowe Kędzierzyn SA;2015;1852977;85308;Kędzierzyn, PL;52.695948 19.734349;PL,PL;1427;sierpecki
201;281;Also Polska sp. z o.o., Warszawa;4651;1847572;-4842;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
203;223;Firma Oponiarska Dębica SA, Dębica;2211;1823744;119574;Dębica, PL;50.05131 21.41085;PL,PL;1803;dębicki
204;188;Brembo Poland sp. z o.o., Dąbrowa Górnicza;2932;1823132;392186;Dąbrowa Górnicza, PL;50.330981 19.196328;Górnicza,;2401;będziński
205;229;Orlen Południe SA GK, Trzebinia;1920;1811615;-91858;Trzebinia, PL;50.159769 19.47091;PL,PL;1203;chrzanowski
206;190;Erbud SA GK, Warszawa;4120;1805459;23932;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
207;406;Henkel Polska sp. z o.o., Warszawa;4675;1794301;-119949;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
208;259;Cognor SA GK, Poraj;7010;1789280;49905;Poraj, PL;51.283659 19.53352;PL,PL;1012;radomszczański
209;201;Urtica sp. z o.o., Wrocław;4646;1783137;25392;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
