Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;coord;NEIGHBORHOOD;teryt;nazwa
1;1;Polski Koncern Naftowy Orlen SA GK, Płock;1920;95364000;7173000;Płock, PL;52.546452 19.700861;PL,PL;1462;m.Płock
2;2;Jeronimo Martins Polska SA, Kostrzyn;4719;48166199;1721514;Kostrzyn, PL;52.395871 17.230281;PL,PL;3003;gnieźnieński
3;3;PGNiG SA GK, Warszawa;3523;35857000;2921000;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
4;6;Grupa Lotos SA GK, Gdańsk;1920;24185600;1671800;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
5;5;Eurocash SA GK, Poznań;4690;23271078;84841;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
6;4;PGE Polska Grupa Energetyczna GK SA, Warszawa;3514;23100000;2667000;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
7;7;KGHM Polska Miedź SA GK, Lubin;729;20358000;1525000;Lubin, PL;51.397447 16.205128;PL,PL;0211;lubiński
8;8;Tauron Polska Energia SA GK, Katowice;3514;17416029;1382946;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
9;13;Orlen Paliwa sp. z o.o., Widełka;4671;17192400;48998;Widełka, PL;50.209503 21.899191;PL,PL;1806;kolbuszowski
10;10;Cinkciarz.pl sp. z o.o., Zielona Góra;6612;17030978;617;Zielona Góra, PL;51.938334 15.504995;Góra,;0809;zielonogórski
11;12;Volkswagen Poznań sp. z o.o., Poznań;2910;16161395;451336;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
12;11;Lidl sp. z o.o. sp.k., Tarnowo Podgórne;4711;16048568;b.d.;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;3024;szamotulski
13;16;ArcelorMittal Poland SA, Dąbrowa Górnicza;2410;15718576;311860;Dąbrowa Górnicza, PL;50.330981 19.196328;Górnicza,;2401;będziński
