teryt;nazwa;firmy;przychod;wynikNetto
1410;łosicki;3;843994;34922
0602;biłgorajski;3;2529767;13780
2011;sokólski;3;1070472;34691
1203;chrzanowski;3;2339502;-78012
1209;myślenicki;3;4387951;71438
3023;słupecki;3;2041733;35387
0225;zgorzelecki;3;912275;15323
3011;kościański;3;850744;32066
1606;namysłowski;3;1536096;29937
1063;m.Skierniewice;4;1748605;89759
2204;gdański;4;1480688;64247
0402;brodnicki;4;1620582;44504
1420;płoński;4;3933708;333054
2063;m.Suwałki;4;749818;42794
1263;m.Tarnów;4;10508059;509544
3215;szczecinecki;4;3347348;-14965
3063;m.Leszno;4;1607647;38093
0221;wałbrzyski;4;1160225;76234
1403;garwoliński;4;2883202;216876
1604;kluczborski;4;1123246;23770
0610;łęczyński;4;3211513;821938
0861;m.Gorzów Wielkopolski;4;2375698;21665
1601;brzeski(opolskie);4;4302538;189942
2010;siemiatycki;4;2391235;74160
2201;bytowski;4;3040748;136804
2062;m.Łomża;4;1239515;40350
1213;oświęcimski;4;5317757;-28705
0615;radzyński;4;2105526;21520
1803;dębicki;4;3127356;193743
2213;starogardzki;4;3674207;24124
1007;opoczyński;4;1241428;85262
2605;konecki;4;856533;27877
3261;m.Koszalin;4;1297481;23952
2602;jędrzejowski;4;2508251;200283
0217;strzeliński;4;1069860;76530
0807;sulęciński;4;1881457;155279
3025;średzki(wielkopolskie);4;1096434;-44874
1432;warszawski zachodni;4;1773998;71886
2815;ostródzki;4;1294403;60635
0412;rypiński;4;759155;68347
1005;łowicki;4;2170032;5899
1815;ropczycko-sędziszowski;4;976918;44914
2202;chojnicki;4;1399461;72748
1862;m.Przemyśl;4;925965;17853
1611;strzelecki;4;1225980;56576
1861;m.Krosno;5;2669286;137102
0405;golubsko-dobrzyński;5;3105710;124385
1212;olkuski;5;3185959;327431
3004;gostyński;5;1809860;110952
0809;zielonogórski;5;18952264;146349
3204;goleniowski;5;8195236;231187
2411;raciborski;5;3872131;152207
0212;lwówecki;5;1431404;130727
3016;obornicki;5;2871187;29142
2402;bielski(śląskie);5;5507262;272275
1416;ostrowski(mazowieckie);5;2315899;97994
2413;tarnogórski;5;1836149;115506
0810;żagański;5;4062848;346883
2264;m.Sopot;5;1537269;216887
1603;kędzierzyńsko-kozielski;5;3083785;92745
0222;wołowski;5;3277466;268429
2263;m.Słupsk;6;1426247;17638
2417;żywiecki;6;6551317;679336
3015;nowotomyski;6;2754479;229345
2470;m.Mysłowice;6;2446228;191381
0418;włocławski;6;15953422;471772
1818;stalowowolski;6;2076035;45406
0204;górowski;6;3871301;50473
3005;grodziski(wielkopolskie);6;1961062;-46727
3030;wrzesiński;7;2444628;83047
1608;oleski;7;3432118;148478
2416;zawierciański;7;6264918;50841
1002;kutnowski;7;3821195;102343
2003;bielski(podlaskie);7;4246363;161220
0407;inowrocławski;7;8415193;17570
0804;nowosolski;7;4826018;257857
2410;pszczyński;8;4015132;178835
2214;tczewski;8;5495078;101090
3017;ostrowski(wielkopolskie);8;4380110;200334
0414;świecki;9;5262273;725197
2215;wejherowski;9;4029667;143621
1464;m.Siedlce;9;4330219;98065
1262;m.Nowy Sącz;9;3430244;68504
0209;legnicki;9;6234625;208013
3020;pleszewski;9;6764647;257941
3203;drawski;9;12849567;172872
1417;otwocki;10;4028459;47148
1020;zgierski;10;4468456;190856
2463;m.Chorzów;10;4737577;-9743
2478;m.Zabrze;10;6658132;-59537
1463;m.Radom;10;10692288;148845
2604;kielecki;11;6399144;709740
1462;m.Płock;11;106045704;7721917
0211;lubiński;11;35688934;2273143
2862;m.Olsztyn;11;12393096;491841
3003;gnieźnieński;11;54951093;1850434
0219;świdnicki(śląskie);12;9089510;446776
3024;szamotulski;12;38698365;552113
1661;m.Opole;12;8209595;197743
1421;pruszkowski;12;9652310;310069
1006;łódzki wschodni;12;5019553;161662
2403;cieszyński;14;7138679;242712
1405;grodziski(mazowieckie);14;6826332;194608
2406;kłobucki;15;9746864;179662
2002;białostocki;15;5494605;130668
0461;m.Bydgoszcz;16;6058982;-425371
2405;gliwicki;16;13306606;488315
0415;toruński;16;21262083;1079880
2477;m.Tychy;16;13188876;591003
1863;m.Rzeszów;17;15535601;1016570
2401;będziński;19;30807569;979951
0609;lubelski;22;11596537;446007
2205;kartuski;25;7625091;1180035
2461;m.Bielsko-Biała;31;31146171;1631124
2261;m.Gdańsk;40;63167759;4035630
2469;m.Katowice;40;55242230;2354181
1008;pabianicki;48;42400450;2146963
3064;m.Poznań;62;117762973;3037578
0223;wrocławski;65;53172007;1795457
1206;krakowski;104;81991911;2611091
1465;m.Warszawa;484;567506555;23708504
