teryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF
0613;parczewski;0;0;0;2;3;0;0;132.08
0614;puławski;0;0;0;16;29;0;48;206.08
0615;radzyński;4;2105526;21520;2;2;0;0;123.7
0616;rycki;1;337346;68;4;2;2;582;177.74
0617;świdnicki(lubelskie);2;676777;18186;2;7;0;0;192.39
0618;tomaszowski(lubelskie);1;419833;62095;4;8;0;0;112.71
0619;włodawski;0;0;0;3;4;0;0;127.25
0620;zamojski;0;0;0;6;8;0;0;110.39
0661;m.BiałaPodlaska;0;0;0;7;8;1;1333;213.76
0662;m.Chełm;0;0;0;4;4;2;599;203.54
0663;m.Lublin;0;0;0;21;37;9;18203;296.1
0664;m.Zamość;0;0;0;11;13;3;440;213.48
0801;gorzowski;0;0;0;6;4;1;25;236.86
0802;krośnieński(lubuskie);0;0;0;6;4;0;0;179.01
0803;międzyrzecki;1;164865;23653;13;13;0;0;178.74
0804;nowosolski;7;4826018;257857;7;6;0;0;163.59
0805;słubicki;1;410080;3110;16;21;0;0;193.97
0806;strzelecko-drezdenecki;1;211188;2332;5;5;0;0;157.72
0807;sulęciński;4;1881457;155279;10;11;0;0;180.06
0808;świebodziński;1;168524;11135;12;16;0;0;195.84
0809;zielonogórski;5;18952264;146349;8;8;0;24;189.94
0810;żagański;5;4062848;346883;6;4;0;0;169.98
0811;żarski;0;0;0;10;8;1;109;195.47
0812;wschowski;1;253009;17285;5;5;0;0;185.59
0861;m.GorzówWielkopolski;4;2375698;21665;10;11;2;981;243.76
0862;m.ZielonaGóra;0;0;0;16;16;2;2805;320.18
1001;bełchatowski;3;2110971;71323;11;7;0;149;326.22
1002;kutnowski;7;3821195;102343;10;9;1;337;200.18
1003;łaski;2;663813;35843;6;5;0;0;186.79
1004;łęczycki;1;8886789;530952;4;3;0;0;139.04
1005;łowicki;4;2170032;5899;8;5;0;0;183.04
1006;łódzkiwschodni;12;5019553;161662;11;7;0;0;285.99
1007;opoczyński;4;1241428;85262;6;6;0;0;150.1
1008;pabianicki;48;42400450;2146963;14;10;0;0;248.36
1009;pajęczański;1;505328;42324;3;2;0;0;187.32
1010;piotrkowski;0;0;0;8;9;0;0;162.93
1011;poddębicki;0;0;0;8;10;0;0;142.18
1012;radomszczański;3;2410748;72808;7;6;0;0;184.79
1013;rawski;0;0;0;6;6;0;0;184.1
1014;sieradzki;1;247861;3689;5;7;0;29;165.86
1015;skierniewicki;0;0;0;0;0;0;0;154.2
1016;tomaszowski(mazowieckie);3;932911;74835;11;11;0;231;203.45
1017;wieluński;2;1959686;99077;11;8;0;0;167.36
1018;wieruszowski;0;0;0;3;3;0;0;177.39
1019;zduńskowolski;0;0;0;6;6;0;74;201.98
1020;zgierski;10;4468456;190856;18;17;0;0;226.05
1021;brzeziński;0;0;0;1;1;0;0;184.92
1061;m.Łódź;2;333279;4666;43;46;22;19281;319.93
1062;m.PiotrkówTrybunalski;1;167578;8557;8;7;0;401;258.23
1063;m.Skierniewice;4;1748605;89759;3;1;2;427;304.23
1201;bocheński;0;0;0;10;11;0;0;192.07
1202;brzeski(małopolskie);0;0;0;5;7;0;0;155.98
1203;chrzanowski;3;2339502;-78012;4;5;0;0;253.29
1204;dąbrowski;1;262942;1563;0;1;0;0;111.4
1205;gorlicki;1;192356;41352;11;13;0;0;129.57
1206;krakowski;104;81991911;2611091;15;18;0;0;282.42
1207;limanowski;0;0;0;9;11;0;12;133.05
1208;miechowski;0;0;0;2;4;0;68;134.64
1209;myślenicki;3;4387951;71438;5;14;0;0;174.96
1210;nowosądecki;0;0;0;37;49;0;0;137.85
1211;nowotarski;2;658246;23310;36;49;1;725;120.57
1212;olkuski;5;3185959;327431;5;5;0;90;255.64
1213;oświęcimski;4;5317757;-28705;7;9;1;341;261.52
1214;proszowicki;0;0;0;4;4;0;0;123.92
1215;suski;1;997811;44959;7;7;1;152;157.21
1216;tarnowski;0;0;0;5;8;0;0;134.32
1217;tatrzański;0;0;0;67;85;0;14;164.28
1218;wadowicki;1;209217;18388;9;12;0;0;197.03
1219;wielicki;0;0;0;19;21;0;0;257.95
1261;m.Kraków;0;0;0;158;183;21;49142;
1262;m.NowySącz;9;3430244;68504;5;9;3;1465;252.57
1263;m.Tarnów;4;10508059;509544;8;8;3;1672;242.39
1401;białobrzeski;0;0;0;4;3;0;0;134.53
1402;ciechanowski;3;3775385;183227;5;8;2;556;203.95
1403;garwoliński;4;2883202;216876;4;6;0;0;183.92
1404;gostyniński;0;0;0;0;0;0;0;147.67
1405;grodziski(mazowieckie);14;6826332;194608;5;8;2;269;413.82
1406;grójecki;3;1958268;64469;8;9;0;0;197.59
1407;kozienicki;0;0;0;1;3;0;0;217.33
1408;legionowski;3;783051;20090;7;12;0;0;377.95
1409;lipski;0;0;0;0;0;0;0;123.24
1410;łosicki;3;843994;34922;2;1;0;0;126.05
1411;makowski;2;408348;5756;2;1;0;0;130.71
1412;miński;0;0;0;8;8;0;22;258.84
1413;mławski;2;8600812;60916;3;3;0;0;179.88
1414;nowodworski(mazowieckie);1;872057;517;7;11;0;0;267.45
1415;ostrołęcki;0;0;0;2;2;0;0;144.42
1416;ostrowski(mazowieckie);5;2315899;97994;1;1;0;17;163.84
1417;otwocki;10;4028459;47148;4;10;2;676;363.76
1418;piaseczyński;2;461379;5007;14;11;0;0;552.25
1419;płocki;0;0;0;8;6;0;0;176.58
1420;płoński;4;3933708;333054;4;8;0;57;164.76
1421;pruszkowski;12;9652310;310069;11;15;1;111;472.89
1422;przasnyski;1;238163;4421;2;2;0;0;141.69
1423;przysuski;0;0;0;1;2;0;0;115.8
1424;pułtuski;0;0;0;3;2;1;432;172.94
1425;radomski;0;0;0;4;7;0;0;144.1
1426;siedlecki;0;0;0;4;4;0;0;147.92
1427;sierpecki;3;2224711;103096;5;4;0;0;143.08
1428;sochaczewski;3;6848983;226879;3;3;1;55;233.15
1429;sokołowski;3;4597838;20272;3;1;0;0;183.42
1430;szydłowiecki;0;0;0;2;4;0;0;121.42
1432;warszawskizachodni;4;1773998;71886;10;11;0;0;511.89
1433;węgrowski;1;157793;21156;2;3;0;0;178.93
1434;wołomiński;1;229137;890;12;15;2;4;303.97
1435;wyszkowski;1;207157;3015;3;4;0;72;187.84
1436;zwoleński;1;279203;-4788;0;1;0;0;126.35
1437;żuromiński;1;633468;13649;0;0;0;0;126.18
1438;żyrardowski;0;0;0;5;6;1;0;246.58
1461;m.Ostrołęka;3;2762616;243912;3;2;2;115;260.94
1462;m.Płock;11;106045704;7721917;9;14;3;2105;447.13
1463;m.Radom;10;10692288;148845;13;14;7;2714;240.34
1464;m.Siedlce;9;4330219;98065;3;8;2;2319;290.75
1465;m.Warszawa;484;567506555;23708504;86;111;70;60809;679.11
1601;brzeski(opolskie);4;4302538;189942;2;6;1;125;200.08
1602;głubczycki;0;0;0;1;1;0;0;154.88
1603;kędzierzyńsko-kozielski;5;3083785;92745;3;8;0;0;223.72
1604;kluczborski;4;1123246;23770;2;7;0;0;164.15
1605;krapkowicki;2;1057002;39360;7;7;0;0;197.73
1606;namysłowski;3;1536096;29937;5;5;0;0;178.07
1607;nyski;2;428480;501;9;15;1;628;167.26
1608;oleski;7;3432118;148478;4;7;0;0;161.38
1609;opolski(śląskie);0;0;0;6;7;0;0;199.84
1610;prudnicki;0;0;0;2;3;0;0;149.1
1611;strzelecki;4;1225980;56576;3;2;0;0;186.33
1661;m.Opole;12;8209595;197743;12;17;4;6962;344.6
1801;bieszczadzki;0;0;0;7;12;0;0;137.54
1802;brzozowski;0;0;0;3;3;0;0;126.02
1803;dębicki;4;3127356;193743;6;11;0;0;183.05
1804;jarosławski;3;1093054;36749;9;11;1;1007;135.23
1805;jasielski;3;710706;30350;4;6;1;128;143.56
1806;kolbuszowski;3;17633045;59318;2;2;0;0;115.13
1807;krośnieński(podkarpackie);0;0;0;10;11;0;0;138.27
1808;leżajski;1;248416;5886;4;4;0;0;123.17
1809;lubaczowski;1;380141;12155;2;3;0;0;102.22
1810;łańcucki;1;737380;11550;8;11;0;0;161.31
1811;mielecki;0;0;0;9;7;0;65;
1812;niżański;0;0;0;0;1;0;20;125.95
1813;przemyski;0;0;0;2;6;0;0;115.62
1814;przeworski;1;201409;15936;2;4;1;39;133.25
1815;ropczycko-sędziszowski;4;976918;44914;7;8;0;0;139.47
1816;rzeszowski;0;0;0;17;21;0;0;162.78
1817;sanocki;1;997805;81049;4;10;1;321;162.85
1818;stalowowolski;6;2076035;45406;4;5;2;335;191.23
1819;strzyżowski;0;0;0;1;4;0;0;129.05
1820;tarnobrzeski;0;0;0;5;7;0;0;150.63
1821;leski;0;0;0;14;15;0;0;127.8
1861;m.Krosno;5;2669286;137102;6;9;1;572;252.86
1862;m.Przemyśl;4;925965;17853;9;10;3;275;195.07
1863;m.Rzeszów;17;15535601;1016570;30;36;6;13562;303.43
1864;m.Tarnobrzeg;1;249949;26836;5;5;1;356;210.84
2001;augustowski;0;0;0;9;10;0;0;150.7
2002;białostocki;15;5494605;130668;12;16;0;0;190.88
2003;bielski(podlaskie);7;4246363;161220;3;2;0;0;175.88
2004;grajewski;1;241583;21779;0;3;0;0;141.9
2005;hajnowski;0;0;0;5;5;0;45;177.23
2006;kolneński;1;486075;1937;1;2;0;0;99.87
2007;łomżyński;0;0;0;4;4;0;0;106.5
2008;moniecki;3;4552899;14318;3;2;0;0;
2009;sejneński;0;0;0;2;2;0;0;123.12
2010;siemiatycki;4;2391235;74160;4;5;1;28;121.11
2011;sokólski;3;1070472;34691;2;2;0;0;126.07
2012;suwalski;0;0;0;3;4;0;0;121.15
2013;wysokomazowiecki;2;4721234;114117;0;2;0;0;153.02
2014;zambrowski;1;647378;13371;4;3;0;0;169.69
2061;m.Białystok;0;0;0;18;22;10;8359;267.53
2062;m.Łomża;4;1239515;40350;2;3;4;1085;227.53
2063;m.Suwałki;4;749818;42794;3;7;1;474;209.42
2201;bytowski;4;3040748;136804;3;3;0;0;158.77
2202;chojnicki;4;1399461;72748;10;10;1;205;180.2
2203;człuchowski;0;0;0;3;4;0;0;145.41
2204;gdański;4;1480688;64247;14;15;0;0;271.69
2205;kartuski;25;7625091;1180035;10;14;0;0;205.71
2206;kościerski;1;578992;32979;11;11;0;23;158.2
2207;kwidzyński;3;4756309;604421;6;6;1;266;182.63
2208;lęborski;2;525954;63759;9;9;0;0;181.41
2209;malborski;2;424008;22410;7;8;0;37;181.15
