"Kod";"Nazwa";"szkoły wyższe ogółem;2017;[ob.]";"absolwenci ogółem;2017;[osoba]";
1600000;"OPOLSKIE";6;7715;
1601000;"Powiat brzeski";1;125;
1607000;"Powiat nyski";1;628;
1661000;"Powiat m.Opole";4;6962;
1800000;"PODKARPACKIE";17;16680;
1804000;"Powiat jarosławski";1;1007;
1805000;"Powiat jasielski";1;128;
1811000;"Powiat mielecki";0;65;
1812000;"Powiat niżański";0;20;
1814000;"Powiat przeworski";1;39;
1817000;"Powiat sanocki";1;321;
1818000;"Powiat stalowowolski";2;335;
1861000;"Powiat m.Krosno";1;572;
1862000;"Powiat m.Przemyśl";3;275;
1863000;"Powiat m.Rzeszów";6;13562;
1864000;"Powiat m.Tarnobrzeg";1;356;
2000000;"PODLASKIE";16;9991;
2005000;"Powiat hajnowski";0;45;
2010000;"Powiat siemiatycki";1;28;
2061000;"Powiat m.Białystok";10;8359;
2062000;"Powiat m.Łomża";4;1085;
2063000;"Powiat m.Suwałki";1;474;
2200000;"POMORSKIE";26;26194;
2202000;"Powiat chojnicki";1;205;
2206000;"Powiat kościerski";0;23;
2207000;"Powiat kwidzyński";1;266;
2209000;"Powiat malborski";0;37;
2213000;"Powiat starogardzki";1;43;
2215000;"Powiat wejherowski";1;54;
2261000;"Powiat m.Gdańsk";13;21187;
2262000;"Powiat m.Gdynia";5;3099;
2263000;"Powiat m.Słupsk";2;924;
2264000;"Powiat m.Sopot";2;356;
2400000;"ŚLĄSKIE";35;38105;
2403000;"Powiat cieszyński";0;178;
2411000;"Powiat raciborski";1;381;
2413000;"Powiat tarnogórski";0;52;
2415000;"Powiat wodzisławski";0;35;
2417000;"Powiat żywiecki";1;104;
2461000;"Powiat m.Bielsko-Biała";7;2351;
2462000;"Powiat m.Bytom";0;23;
2463000;"Powiat m.Chorzów";1;1703;
2464000;"Powiat m.Częstochowa";6;5065;
2465000;"Powiat m.Dąbrowa Górnicza";2;1626;
2466000;"Powiat m.Gliwice";2;7963;
2469000;"Powiat m.Katowice";11;17567;
2470000;"Powiat m.Mysłowice";0;79;
2472000;"Powiat m.Ruda Śląska";1;16;
2475000;"Powiat m.Sosnowiec";3;801;
2477000;"Powiat m.Tychy";0;64;
2479000;"Powiat m.Żory";0;97;
2600000;"ŚWIĘTOKRZYSKIE";12;8642;
2607000;"Powiat ostrowiecki";1;524;
2608000;"Powiat pińczowski";1;57;
2609000;"Powiat sandomierski";2;86;
2661000;"Powiat m.Kielce";8;7975;
2800000;"WARMIŃSKO-MAZURSKIE";7;9575;
2801000;"Powiat bartoszycki";0;32;
2805000;"Powiat ełcki";0;131;
2807000;"Powiat iławski";0;89;
2817000;"Powiat szczycieński";1;1103;
2861000;"Powiat m.Elbląg";2;856;
2862000;"Powiat m.Olsztyn";4;7364;
3000000;"WIELKOPOLSKIE";36;36600;
3002000;"Powiat czarnkowsko-trzcianecki";0;16;
3003000;"Powiat gnieźnieński";2;385;
3015000;"Powiat nowotomyski";0;85;
3017000;"Powiat ostrowski";0;219;
3019000;"Powiat pilski";2;521;
3023000;"Powiat słupecki";1;0;
3025000;"Powiat średzki";1;309;
3028000;"Powiat wągrowiecki";0;53;
3061000;"Powiat m.Kalisz";1;1074;
3062000;"Powiat m.Konin";3;734;
3063000;"Powiat m.Leszno";2;673;
3064000;"Powiat m.Poznań";24;32531;
3200000;"ZACHODNIOPOMORSKIE";16;11857;
3205000;"Powiat gryficki";0;1;
3208000;"Powiat kołobrzeski";0;47;
3214000;"Powiat stargardzki";0;78;
3215000;"Powiat szczecinecki";0;60;
3217000;"Powiat wałecki";1;102;
3261000;"Powiat m.Koszalin";3;2126;
3262000;"Powiat m.Szczecin";12;9443;
